Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 방취망 (Latency: 1.155s, Tokens: [P:1104, C:24, T:1128])
Q: 손 안 더러워지게 쓰는 거 있어요? -> Keyword: 밀대 (Latency: 1.062s, Tokens: [P:1102, C:51, T:1153])
Q: 여름에 시원한 촉감 나는 거 있어요? -> Keyword: 발매트 (Latency: 1.251s, Tokens: [P:1103, C:59, T:1162])
Q: 겨울에 따뜻한 촉감 나는 거 있어요? -> Keyword: 발매트 (Latency: 0.958s, Tokens: [P:1103, C:32, T:1135])
Q: 물 흡수 잘 되는 거 있어요? -> Keyword: 규조토발매트 (Latency: 0.865s, Tokens: [P:1099, C:30, T:1129])
Q: 물 튀는 거 막아주는 거 있어요? -> Keyword: 샤워커튼 (Latency: 0.950s, Tokens: [P:1102, C:32, T:1134])
Q: 눌러도 안 찌그러지는 거 있어요? -> Keyword: 스테인리스용기 (Latency: 1.163s, Tokens: [P:1102, C:50, T:1152])
Q: 공간 적게 차지하는 거 있어요? -> Keyword: 틈새수납장 (Latency: 0.859s, Tokens: [P:1100, C:36, T:1136])
Q: 고정 잘 되는 거 있어요? -> Keyword: 후크 (Latency: 1.060s, Tokens: [P:1098, C:45, T:1143])
Q: 한 손으로 쓰기 편한 거 있어요? -> Keyword: 샴푸통 (Latency: 1.144s, Tokens: [P:1101, C:53, T:1154])
Q: 뚜껑이 잘 안 열리는 거 있어요? -> Keyword: 병따개 (Latency: 0.950s, Tokens: [P:1101, C:29, T:1130])
Q: 아이가 혼자 써도 안전한 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 1.439s, Tokens: [P:1102, C:73, T:1175])
Q: 투명해서 안에 보이는 거 있어요? -> Keyword: 투명수납함 (Latency: 0.861s, Tokens: [P:1099, C:36, T:1135])
Q: 걸어두면 공간 아끼는 거 있어요? -> Keyword: 도어후크 (Latency: 1.042s, Tokens: [P:1102, C:43, T:1145])
Q: 자석으로 붙는 거 있어요? -> Keyword: 마그넷후크 (Latency: 0.955s, Tokens: [P:1099, C:35, T:1134])
Q: 물에 담가도 되는 거 있어요? -> Keyword: 샤워볼 (Latency: 1.558s, Tokens: [P:1100, C:88, T:1188])
Q: 기름 안 튀게 하는 거 있어요? -> Keyword: 기름방지망 (Latency: 0.923s, Tokens: [P:1101, C:30, T:1131])
Q: 손잡이 안 뜨거워지는 거 있어요? -> Keyword: 냄비손잡이 (Latency: 0.953s, Tokens: [P:1102, C:41, T:1143])
Q: 냄새 배는 거 막는 거 있어요? -> Keyword: 음식물쓰레기통 (Latency: 1.062s, Tokens: [P:1101, C:32, T:1133])
Q: 부드러운 촉감 나는 거 있어요? -> Keyword: 화장솜 (Latency: 0.850s, Tokens: [P:1101, C:28, T:1129])
Q: 튀어나온 데 보호하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 0.961s, Tokens: [P:1100, C:45, T:1145])
Q: 자주 안 더러워지는 거 있어요? -> Keyword: 오염방지시트 (Latency: 0.776s, Tokens: [P:1101, C:28, T:1129])
Q: 쉽게 찢어지지 않는 거 있어요? -> Keyword: 코팅지 (Latency: 0.849s, Tokens: [P:1101, C:37, T:1138])
Q: 끈적임 없이 고정되는 거 있어요? -> Keyword: 양면테이프 (Latency: 1.047s, Tokens: [P:1101, C:39, T:1140])
Q: 접착 말고 다른 방식으로 고정되는 거 있어요? -> Keyword: 압착흡착후크 (Latency: 1.249s, Tokens: [P:1102, C:66, T:1168])
Q: 손에 힘 안 줘도 되는 거 있어요? -> Keyword: 욕실브러쉬 (Latency: 1.333s, Tokens: [P:1102, C:71, T:1173])
Q: 바람 막아주는 거 있어요? -> Keyword: 문풍지 (Latency: 0.777s, Tokens: [P:1099, C:26, T:1125])
Q: 햇빛 가려주는 거 있어요? -> Keyword: 암막커튼 (Latency: 0.856s, Tokens: [P:1099, C:25, T:1124])
Q: 습기 줄여주는 거 있어요? -> Keyword: 습기제거제 (Latency: 1.342s, Tokens: [P:1099, C:75, T:1174])
Q: 냄새 섞이지 않게 하는 거 있어요? -> Keyword: 밀폐용기 (Latency: 0.957s, Tokens: [P:1102, C:29, T:1131])
Q: 쉽게 들고 다닐 수 있는 거 있어요? -> Keyword: 바구니 (Latency: 1.123s, Tokens: [P:1102, C:49, T:1151])
Q: 바퀴 안 굴러가게 하는 거 있어요? -> Keyword: 바퀴고정캡 (Latency: 0.785s, Tokens: [P:1103, C:29, T:1132])
Q: 물 얼룩 안 남는 거 있어요? -> Keyword: 유리닦이 (Latency: 0.769s, Tokens: [P:1100, C:25, T:1125])
Q: 손에 묻지 않게 쓰는 거 있어요? -> Keyword: 퍼프 (Latency: 1.046s, Tokens: [P:1102, C:51, T:1153])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 안전잠금장치 (Latency: 1.613s, Tokens: [P:1101, C:93, T:1194])
Q: 쉽게 접었다 펼 수 있는 거 있어요? -> Keyword: 접이식바구니 (Latency: 0.860s, Tokens: [P:1101, C:28, T:1129])
Q: 긁혀도 티 안 나는 거 있어요? -> Keyword: 의자발커버 (Latency: 0.858s, Tokens: [P:1100, C:24, T:1124])
Q: 눌러도 소리 안 나는 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.963s, Tokens: [P:1101, C:28, T:1129])
Q: 물에 젖어도 미끄럽지 않은 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 0.852s, Tokens: [P:1104, C:30, T:1134])
Q: 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 리빙박스 (Latency: 0.859s, Tokens: [P:1101, C:26, T:1127])
Q: 열어두면 자동으로 닫히는 거 있어요? -> Keyword: 도어클로저 (Latency: 0.953s, Tokens: [P:1103, C:32, T:1135])
Q: 안 보이게 가릴 수 있는 거 있어요? -> Keyword: 가림막커튼 (Latency: 0.959s, Tokens: [P:1101, C:27, T:1128])
Q: 물기 많은 데 놔도 되는 거 있어요? -> Keyword: 비누받침 (Latency: 1.149s, Tokens: [P:1102, C:71, T:1173])
Q: 작은 물건 안 흩어지게 하는 거 있어요? -> Keyword: 투명수납함 (Latency: 0.955s, Tokens: [P:1105, C:35, T:1140])
Q: 손 안 베이게 하는 거 있어요? -> Keyword: 칼날보호대 (Latency: 0.870s, Tokens: [P:1100, C:33, T:1133])
Q: 냄새 새는 거 막는 거 있어요? -> Keyword: 음식물쓰레기통 (Latency: 0.856s, Tokens: [P:1101, C:28, T:1129])
Q: 열면 자동으로 불 켜지는 거 있어요? -> Keyword: 센서등 (Latency: 1.430s, Tokens: [P:1101, C:69, T:1170])
Q: 쉽게 닦이는 표면이에요? -> Keyword: 코팅스프레이 (Latency: 0.959s, Tokens: [P:1100, C:33, T:1133])
Q: 무게 가벼운 거 있어요? -> Keyword: 바구니 (Latency: 1.324s, Tokens: [P:1099, C:75, T:1174])
Q: 흔들리지 않게 세워두는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 1.148s, Tokens: [P:1103, C:58, T:1161])
Q: 눕혀놔도 안 쏟아지는 거 있어요? -> Keyword: 밀폐용기 (Latency: 0.822s, Tokens: [P:1103, C:28, T:1131])
Q: 전기 없이 쓰는 거 있어요? -> Keyword: 수동공구 (Latency: 1.285s, Tokens: [P:1098, C:84, T:1182])
Q: 열 차단 잘 되는 거 있어요? -> Keyword: 단열시트 (Latency: 1.146s, Tokens: [P:1099, C:58, T:1157])
Q: 물 튀겨도 고장 안 나는 거 있어요? -> Keyword: 방수팩 (Latency: 1.436s, Tokens: [P:1103, C:77, T:1180])
Q: 손목 안 아프게 쓰는 거 있어요? -> Keyword: 칼손잡이 or 핑거그립 (Latency: 1.256s, Tokens: [P:1101, C:67, T:1168])
Q: 땀 차지 않게 하는 거 있어요? -> Keyword: 땀흡수패드 (Latency: 0.749s, Tokens: [P:1099, C:30, T:1129])
Q: 애가 열 수 없게 하는 거 있어요? -> Keyword: 안전잠금장치 (Latency: 0.861s, Tokens: [P:1101, C:33, T:1134])
Q: 쉽게 부서지지 않는 거 있어요? -> Keyword: 안전고리 (Latency: 1.264s, Tokens: [P:1100, C:49, T:1149])
Q: 여러 개 한 번에 들 수 있는 거 있어요? -> Keyword: 쟁반 (Latency: 0.844s, Tokens: [P:1102, C:34, T:1136])
Q: 보관해도 곰팡이 안 생기는 거 있어요? -> Keyword: 곰팡이제거제 (Latency: 0.847s, Tokens: [P:1104, C:29, T:1133])
Q: 긁힘 없이 닦이는 거 있어요? -> Keyword: 스크래치방지수세미 (Latency: 1.264s, Tokens: [P:1100, C:46, T:1146])
Q: 밤에 불 안 켜도 보이는 거 있어요? -> Keyword: 야광테이프 (Latency: 0.940s, Tokens: [P:1102, C:31, T:1133])
Q: 자주 넘어지지 않는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 0.956s, Tokens: [P:1099, C:29, T:1128])
Q: 먼지 덜 붙는 재질 있어요? -> Keyword: 정전기방지청소포 (Latency: 1.144s, Tokens: [P:1101, C:44, T:1145])
Q: 한 번에 정리 끝나는 거 있어요? -> Keyword: 리빙박스 (Latency: 0.896s, Tokens: [P:1100, C:32, T:1132])
Q: 냄새랑 습기 같이 잡는 거 있어요? -> Keyword: 제습제 (Latency: 1.032s, Tokens: [P:1102, C:45, T:1147])
Q: 이동해도 내용물 안 섞이는 거 있어요? -> Keyword: 도시락통 (Latency: 0.859s, Tokens: [P:1103, C:36, T:1139])
Q: 열고 닫기 조용한 거 있어요? -> Keyword: 리빙박스 (Latency: 1.047s, Tokens: [P:1101, C:36, T:1137])
Q: 안에 뭐 들었는지 바로 보이는 거 있어요? -> Keyword: 투명수납함 (Latency: 0.959s, Tokens: [P:1102, C:39, T:1141])
Q: 눌러도 원래대로 돌아오는 거 있어요? -> Keyword: 압축팩 (Latency: 1.064s, Tokens: [P:1101, C:51, T:1152])
Q: 뚜껑 안 잃어버리게 붙어 있는 거 있어요? -> Keyword: 반찬통 (Latency: 0.859s, Tokens: [P:1106, C:32, T:1138])
Q: 열어둬도 냄새 안 퍼지는 거 있어요? -> Keyword: 음식물쓰레기통 (Latency: 0.954s, Tokens: [P:1104, C:34, T:1138])
Q: 세워놔도 안 넘어지는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 1.054s, Tokens: [P:1101, C:43, T:1144])
Q: 손에 안 묻히고 버리는 거 있어요? -> Keyword: 쓰레기집게 (Latency: 0.963s, Tokens: [P:1103, C:40, T:1143])
Q: 아이가 던져도 안 깨지는 거 있어요? -> Keyword: 플라스틱식기 (Latency: 1.341s, Tokens: [P:1102, C:68, T:1170])
Q: 열면 바로 쓸 수 있는 거 있어요? -> Keyword: 물티슈 (Latency: 0.776s, Tokens: [P:1100, C:24, T:1124])
Q: 가방 안에서 자리 안 차지하는 거 있어요? -> Keyword: 파우치 (Latency: 0.793s, Tokens: [P:1102, C:30, T:1132])
Q: 냄새 안 섞이게 분리되는 거 있어요? -> Keyword: 밀폐용기 (Latency: 0.878s, Tokens: [P:1104, C:33, T:1137])
Q: 바람 불어도 안 날아가는 거 있어요? -> Keyword: 빨래집게 (Latency: 0.880s, Tokens: [P:1102, C:35, T:1137])
Q: 닫아두면 자동으로 잠기는 거 있어요? -> Keyword: 보관용기 (Latency: 0.797s, Tokens: [P:1101, C:25, T:1126])
Q: 손 안 더럽히고 짜는 거 있어요? -> Keyword: 치약짜개 (Latency: 0.888s, Tokens: [P:1102, C:35, T:1137])
Q: 물기 있어도 붙는 거 있어요? -> Keyword: 미끄럼방지패드 (Latency: 0.794s, Tokens: [P:1100, C:30, T:1130])
Q: 한 번 붙이면 오래 가는 거 있어요? -> Keyword: 강력접착테이프 (Latency: 0.976s, Tokens: [P:1100, C:36, T:1136])
Q: 여러 군데 쓸 수 있는 거 있어요? -> Keyword: 바구니 (Latency: 1.148s, Tokens: [P:1100, C:52, T:1152])
