Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 탈취제 (Latency: 1.382s, Tokens: [P:3164, C:39, T:3203])
Q: 바퀴 안 굴러가게 하는 거 있어요? -> Keyword: 바퀴고정패드 (Latency: 0.915s, Tokens: [P:3163, C:38, T:3201])
Q: 물 얼룩 안 남는 거 있어요? -> Keyword: 방오매트 (Latency: 2.208s, Tokens: [P:3160, C:35, T:3195])
Q: 손에 묻지 않게 쓰는 거 있어요? -> Keyword: 치약짜개 (Latency: 1.159s, Tokens: [P:3162, C:30, T:3192])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 1.278s, Tokens: [P:3160, C:42, T:3202])
Q: 쉽게 접었다 펼 수 있는 거 있어요? -> Keyword: 자동접이식의자 (Latency: 1.754s, Tokens: [P:3160, C:38, T:3198])
Q: 긁혀도 티 안 나는 거 있어요? -> Keyword: 의자발커버 (Latency: 0.879s, Tokens: [P:3160, C:27, T:3187])
Q: 눌러도 소리 안 나는 거 있어요? -> Keyword: 소음방지패드 (Latency: 0.971s, Tokens: [P:3161, C:27, T:3188])
Q: 물에 젖어도 미끄럽지 않은 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 1.089s, Tokens: [P:3164, C:30, T:3194])
Q: 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 다용도 수납함 (Latency: 1.202s, Tokens: [P:3161, C:33, T:3194])
Q: 열어두면 자동으로 닫히는 거 있어요? -> Keyword: 자동닫힘장치 (Latency: 1.103s, Tokens: [P:3163, C:34, T:3197])
Q: 안 보이게 가릴 수 있는 거 있어요? -> Keyword: 가림막커튼 (Latency: 0.970s, Tokens: [P:3161, C:28, T:3189])
Q: 물기 많은 데 놔도 되는 거 있어요? -> Keyword: 방수파우치 (Latency: 1.222s, Tokens: [P:3161, C:53, T:3214])
Q: 작은 물건 안 흩어지게 하는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 1.361s, Tokens: [P:3164, C:34, T:3198])
Q: 손 안 베이게 하는 거 있어요? -> Keyword: 손목보호대 (Latency: 0.884s, Tokens: [P:3159, C:31, T:3190])
Q: 냄새 새는 거 막는 거 있어요? -> Keyword: 탈취제 (Latency: 0.669s, Tokens: [P:3161, C:23, T:3184])
Q: 열면 자동으로 불 켜지는 거 있어요? -> Keyword: 자동전구 (Latency: 1.018s, Tokens: [P:3161, C:31, T:3192])
Q: 쉽게 닦이는 표면이에요? -> Keyword: 코팅식탁보 (Latency: 1.595s, Tokens: [P:3159, C:66, T:3225])
Q: 무게 가벼운 거 있어요? -> Keyword: 생활용품 (Latency: 1.561s, Tokens: [P:3159, C:61, T:3220])
Q: 흔들리지 않게 세워두는 거 있어요? -> Keyword: 고정형 정리함 (Latency: 0.944s, Tokens: [P:3163, C:34, T:3197])
Q: 눕혀놔도 안 쏟아지는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.162s, Tokens: [P:3165, C:35, T:3200])
Q: 전기 없이 쓰는 거 있어요? -> Keyword: 아날로그타이머 (Latency: 0.981s, Tokens: [P:3158, C:35, T:3193])
Q: 열 차단 잘 되는 거 있어요? -> Keyword: 냄비받침 (Latency: 1.017s, Tokens: [P:3158, C:35, T:3193])
Q: 물 튀겨도 고장 안 나는 거 있어요? -> Keyword: 방수팩 (Latency: 0.888s, Tokens: [P:3162, C:31, T:3193])
Q: 손목 안 아프게 쓰는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.241s, Tokens: [P:3161, C:43, T:3204])
Q: 땀 차지 않게 하는 거 있어요? -> Keyword: 땀받이 (Latency: 1.690s, Tokens: [P:3161, C:41, T:3202])
Q: 애가 열 수 없게 하는 거 있어요? -> Keyword: 잠금장치 (Latency: 1.113s, Tokens: [P:3160, C:31, T:3191])
Q: 쉽게 부서지지 않는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.380s, Tokens: [P:3160, C:33, T:3193])
Q: 여러 개 한 번에 들 수 있는 거 있어요? -> Keyword: 바구니류 (Latency: 1.429s, Tokens: [P:3162, C:53, T:3215])
Q: 보관해도 곰팡이 안 생기는 거 있어요? -> Keyword: 제습제 (Latency: 0.813s, Tokens: [P:3165, C:25, T:3190])
Q: 긁힘 없이 닦이는 거 있어요? -> Keyword: 방오매트 (Latency: 1.393s, Tokens: [P:3160, C:64, T:3224])
Q: 밤에 불 안 켜도 보이는 거 있어요? -> Keyword: 야광스티커 (Latency: 0.933s, Tokens: [P:3162, C:36, T:3198])
Q: 자주 넘어지지 않는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 1.073s, Tokens: [P:3159, C:28, T:3187])
Q: 먼지 덜 붙는 재질 있어요? -> Keyword: 방오매트 (Latency: 1.124s, Tokens: [P:3160, C:46, T:3206])
Q: 한 번에 정리 끝나는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 1.153s, Tokens: [P:3160, C:47, T:3207])
Q: 냄새랑 습기 같이 잡는 거 있어요? -> Keyword: 탈취제 (Latency: 1.660s, Tokens: [P:3163, C:75, T:3238])
Q: 이동해도 내용물 안 섞이는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 0.801s, Tokens: [P:3163, C:31, T:3194])
Q: 열고 닫기 조용한 거 있어요? -> Keyword: 자동문열림기 (Latency: 0.945s, Tokens: [P:3161, C:39, T:3200])
Q: 안에 뭐 들었는지 바로 보이는 거 있어요? -> Keyword: 투명정리함 (Latency: 0.816s, Tokens: [P:3163, C:32, T:3195])
Q: 눌러도 원래대로 돌아오는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 0.891s, Tokens: [P:3162, C:36, T:3198])
Q: 뚜껑 안 잃어버리게 붙어 있는 거 있어요? -> Keyword: 뚜껑이 붙어 있는 용기 (Latency: 1.031s, Tokens: [P:3167, C:40, T:3207])
Q: 열어둬도 냄새 안 퍼지는 거 있어요? -> Keyword: 탈취제 (Latency: 0.838s, Tokens: [P:3164, C:23, T:3187])
Q: 세워놔도 안 넘어지는 거 있어요? -> Keyword: 고정형 받침대 (Latency: 3.266s, Tokens: [P:3161, C:27, T:3188])
Q: 손에 안 묻히고 버리는 거 있어요? -> Keyword: 청소집게 (Latency: 1.003s, Tokens: [P:3162, C:29, T:3191])
Q: 아이가 던져도 안 깨지는 거 있어요? -> Keyword: 멜라민식기 (Latency: 1.177s, Tokens: [P:3162, C:33, T:3195])
Q: 열면 바로 쓸 수 있는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 0.885s, Tokens: [P:3160, C:38, T:3198])
Q: 가방 안에서 자리 안 차지하는 거 있어요? -> Keyword: 분할케이스 (Latency: 0.937s, Tokens: [P:3162, C:27, T:3189])
Q: 냄새 안 섞이게 분리되는 거 있어요? -> Keyword: 칸막이정리함 (Latency: 0.853s, Tokens: [P:3164, C:31, T:3195])
Q: 바람 불어도 안 날아가는 거 있어요? -> Keyword: 무게추 (Latency: 1.105s, Tokens: [P:3162, C:40, T:3202])
Q: 닫아두면 자동으로 잠기는 거 있어요? -> Keyword: 자동잠금장치 (Latency: 1.041s, Tokens: [P:3161, C:52, T:3213])
Q: 손 안 더럽히고 짜는 거 있어요? -> Keyword: 튜브짜개 (Latency: 1.047s, Tokens: [P:3162, C:31, T:3193])
Q: 물기 있어도 붙는 거 있어요? -> Keyword: 방수테이프 (Latency: 1.275s, Tokens: [P:3159, C:43, T:3202])
Q: 한 번 붙이면 오래 가는 거 있어요? -> Keyword: 몬스터클리어젤 (Latency: 1.646s, Tokens: [P:3160, C:86, T:3246])
Q: 여러 군데 쓸 수 있는 거 있어요? -> Keyword: 다용도걸이 (Latency: 1.246s, Tokens: [P:3161, C:42, T:3203])
