Q: 집에서 쓰는 건데 뭐 하나 없을까요? -> Keyword: 자동디스펜서 (Latency: 2.439s, Tokens: [P:3161, C:76, T:3237])
Q: 이거 안 보이게 가리는 거 있어요? -> Keyword: 가림막커튼 (Latency: 0.983s, Tokens: [P:3161, C:28, T:3189])
Q: 애가 자꾸 열어서요 -> Keyword: 모서리보호대 (Latency: 2.284s, Tokens: [P:3157, C:45, T:3202])
Q: 이거 계속 축축해요 -> Keyword: 규조토발매트 (Latency: 1.220s, Tokens: [P:3157, C:32, T:3189])
Q: 바닥 긁히는 거 막는 거 있어요? -> Keyword: 의자발커버 (Latency: 1.110s, Tokens: [P:3162, C:27, T:3189])
Q: 이거 소리 너무 커요 -> Keyword: 소음방지패드 (Latency: 0.829s, Tokens: [P:3157, C:27, T:3184])
Q: 여기다 붙여두면 편한 거 있어요? -> Keyword: 흡착후크 (Latency: 1.195s, Tokens: [P:3162, C:37, T:3199])
Q: 집에서 이것저것 걸어두는 거 있어요? -> Keyword: 행거 (Latency: 1.186s, Tokens: [P:3162, C:39, T:3201])
Q: 이거 들고 나가도 되는 거에요? -> Keyword: 자동디스펜서 (Latency: 1.642s, Tokens: [P:3161, C:74, T:3235])
Q: 여름에 없으면 좀 불편한 거 뭐에요? -> Keyword: 여름용품 (Latency: 1.092s, Tokens: [P:3163, C:33, T:3196])
Q: 이거 정리 안 하면 진짜 스트레스에요 -> Keyword: 정리함 (Latency: 1.035s, Tokens: [P:3162, C:36, T:3198])
Q: 애가 던져도 안 깨지는 거 있어요? -> Keyword: 멜라민식기 (Latency: 0.964s, Tokens: [P:3162, C:33, T:3195])
Q: 이거 자꾸 넘어져요 -> Keyword: 모서리보호대 (Latency: 0.784s, Tokens: [P:3157, C:27, T:3184])
Q: 냄새 나는 거 숨기는 거 있어요? -> Keyword: 탈취제 (Latency: 1.393s, Tokens: [P:3160, C:49, T:3209])
Q: 이거 물에 담가도 돼요? -> Keyword: 방수팩 (Latency: 3.760s, Tokens: [P:3160, C:125, T:3285])
Q: 여기다 넣어두면 안 흘러요? -> Keyword: 밀폐용기 (Latency: 2.818s, Tokens: [P:3162, C:32, T:3194])
Q: 애가 혼자 써도 되는 거 있어요? -> Keyword: 유아식기 (Latency: 1.384s, Tokens: [P:3161, C:35, T:3196])
Q: 집에 두면 분위기 바뀌는 거 있어요? -> Keyword: 장식소품 (Latency: 1.810s, Tokens: [P:3163, C:76, T:3239])
Q: 이거 계속 손에 묻어요 -> Keyword: 청소포 (Latency: 1.405s, Tokens: [P:3158, C:50, T:3208])
Q: 이거 다른 데다 옮겨도 돼요? -> Keyword: 이동식 수납함 (Latency: 1.108s, Tokens: [P:3162, C:38, T:3200])
Q: 애가 자꾸 끌고 다녀요 -> Keyword: 모서리보호대 (Latency: 1.537s, Tokens: [P:3160, C:54, T:3214])
Q: 집에서 제일 많이 쓰는 거 뭐에요? -> Keyword: 인기상품 (Latency: 2.116s, Tokens: [P:3161, C:60, T:3221])
Q: 이거 매번 닦기 귀찮아요 -> Keyword: 청소포 (Latency: 2.145s, Tokens: [P:3160, C:57, T:3217])
Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 탈취제 (Latency: 1.169s, Tokens: [P:3164, C:39, T:3203])
Q: 여기다 올려두면 떨어질까요? -> Keyword: 모서리보호대 (Latency: 0.901s, Tokens: [P:3160, C:27, T:3187])
Q: 이거 차 안에 놔도 돼요? -> Keyword: 차량용 수납함 (Latency: 1.043s, Tokens: [P:3161, C:33, T:3194])
Q: 집에서 없어도 될 줄 알았는데 필요하네요 -> Keyword: 자동디스펜서 (Latency: 4.576s, Tokens: [P:3162, C:139, T:3301])
Q: 이거 애 손 안 닿는 데 둘 수 있어요? -> Keyword: 모서리보호대 (Latency: 1.511s, Tokens: [P:3163, C:38, T:3201])
Q: 이거 계속 찢어져요 -> Keyword: 몬스터클리어젤 (Latency: 1.023s, Tokens: [P:3158, C:29, T:3187])
Q: 애가 혼자 못 열게 하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 1.537s, Tokens: [P:3161, C:34, T:3195])
Q: 이거 하나로 다 해결돼요? -> Keyword: 멀티툴 (Latency: 1.125s, Tokens: [P:3158, C:39, T:3197])
Q: 집에 두면 은근히 편해지는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 1.153s, Tokens: [P:3163, C:39, T:3202])
Q: 이거 어디다 두는 게 정석이에요? -> Keyword: 정리함 (Latency: 1.877s, Tokens: [P:3161, C:66, T:3227])
Q: 이거 자주 사야 하는 거에요? -> Keyword: 인기상품 (Latency: 3.303s, Tokens: [P:3160, C:135, T:3295])
Q: 애가 넘어질까 봐 걱정돼요 -> Keyword: 모서리보호대 (Latency: 1.092s, Tokens: [P:3162, C:35, T:3197])
Q: 집에서 이거 말고 다른 방법 없어요? -> Keyword: 자동디스펜서 (Latency: 2.418s, Tokens: [P:3160, C:109, T:3269])
Q: 이거 안 흘리게 쓰는 법 없어요? -> Keyword: 자동디스펜서 (Latency: 1.017s, Tokens: [P:3162, C:40, T:3202])
Q: 애가 자꾸 물어뜯어요 -> Keyword: 모서리보호대 (Latency: 1.903s, Tokens: [P:3159, C:73, T:3232])
Q: 이거 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 다용도 수납함 (Latency: 1.188s, Tokens: [P:3163, C:53, T:3216])
Q: 집에서 없어도 되는데 있으면 좋은 거 뭐에요? -> Keyword: 자동디스펜서 (Latency: 1.132s, Tokens: [P:3163, C:42, T:3205])
Q: 이거 보관 안 하면 망가져요 -> Keyword: 보관함 (Latency: 1.220s, Tokens: [P:3161, C:39, T:3200])
Q: 그냥 요즘 다들 많이 사는 거 뭐에요? -> Keyword: 인기상품 (Latency: 1.108s, Tokens: [P:3163, C:47, T:3210])
Q: 여행 갈 때 캐리어 안에서 옷 안 구겨지게 하는 거 뭐 있어요? -> Keyword: 옷주머니 (Latency: 1.337s, Tokens: [P:3171, C:46, T:3217])
Q: 비 오는 날 신발 안 젖게 막는 거 있어요? -> Keyword: 방수신발커버 (Latency: 1.157s, Tokens: [P:3164, C:41, T:3205])
Q: 머리 말릴 때 물 흘러내리는 거 막는 거 있어요? -> Keyword: 방수발매트 (Latency: 1.260s, Tokens: [P:3167, C:28, T:3195])
Q: 냉장고 냄새 안 나게 하는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 1.303s, Tokens: [P:3165, C:23, T:3188])
Q: 욕실 바닥 미끄러워서 안 넘어지게 하는 거 있나요? -> Keyword: 미끄럼방지매트 (Latency: 1.017s, Tokens: [P:3167, C:30, T:3197])
Q: 이사 와서 집 정리 좀 쉽게 하는 거 뭐부터 사야 돼요? -> Keyword: 정리함 (Latency: 1.474s, Tokens: [P:3168, C:41, T:3209])
Q: 전선들 너무 엉키는데 정리하는 거 있어요? -> Keyword: 전선정리함 (Latency: 0.826s, Tokens: [P:3164, C:31, T:3195])
Q: 여름에 차 안에 두면 좋은 방향 같은 거 있어요? -> Keyword: 방향제 (Latency: 1.299s, Tokens: [P:3164, C:42, T:3206])
Q: 아이 책상 위에 올려둘 정리용 통 같은 거 있어요? -> Keyword: 정리함 (Latency: 0.879s, Tokens: [P:3166, C:33, T:3199])
Q: 가방 안에서 화장품 안 새게 보관하는 거 있나요? -> Keyword: 화장품 정리함 (Latency: 0.986s, Tokens: [P:3166, C:31, T:3197])
Q: 비행기 탈 때 목 안 아프게 받치는 거 있어요? -> Keyword: 목베개 (Latency: 1.013s, Tokens: [P:3165, C:35, T:3200])
Q: 세탁기 돌릴 때 옷 망가지는 거 막는 거 있어요? -> Keyword: 세탁망 (Latency: 1.349s, Tokens: [P:3168, C:36, T:3204])
Q: 신발 냄새 줄이는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 1.045s, Tokens: [P:3161, C:22, T:3183])
Q: 욕실 배수구에 머리카락 안 막히게 하는 거 있나요? -> Keyword: 배수구망 (Latency: 0.898s, Tokens: [P:3168, C:26, T:3194])
Q: 여름에 등 붙는 거 싫은데 깔고 앉는 거 있어요? -> Keyword: 쿨링매트 (Latency: 1.291s, Tokens: [P:3170, C:37, T:3207])
Q: 전자레인지 돌려도 되는 그릇 구분이 안 돼서요, 표시된 거 있어요? -> Keyword: 내열유리용기 (Latency: 1.828s, Tokens: [P:3174, C:62, T:3236])
Q: 여행 갈 때 세면도구 따로 담는 통 있어요? -> Keyword: 세면도구함 (Latency: 0.934s, Tokens: [P:3165, C:30, T:3195])
Q: 집에서 커피 마실 때 종이 필터 같은 거 있어요? -> Keyword: 커피 필터 (Latency: 1.196s, Tokens: [P:3165, C:41, T:3206])
Q: 비 오는 날 우산 물 안 떨어지게 하는 거 있나요? -> Keyword: 방수팩 (Latency: 0.823s, Tokens: [P:3164, C:30, T:3194])
Q: 아이 장난감 정리 좀 쉽게 하는 박스 있어요? -> Keyword: 정리함 (Latency: 1.149s, Tokens: [P:3163, C:29, T:3192])
Q: 옷장 안에 냄새 안 나게 해주는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 0.902s, Tokens: [P:3167, C:23, T:3190])
Q: 휴대폰 떨어뜨려도 안 깨지게 하는 케이스 말고 붙이는 거 있어요? -> Keyword: 모서리보호대 (Latency: 1.307s, Tokens: [P:3172, C:32, T:3204])
Q: 차 문 열 때 벽에 안 찍히게 하는 거 있어요? -> Keyword: 모서리보호대 (Latency: 1.336s, Tokens: [P:3165, C:30, T:3195])
Q: 책상 다리 바닥 긁히는 거 막는 거 있나요? -> Keyword: 의자발커버 (Latency: 1.005s, Tokens: [P:3166, C:27, T:3193])
Q: 냉장고 문에 붙여서 메모 붙이는 판 같은 거 있어요? -> Keyword: 화이트보드 (Latency: 2.811s, Tokens: [P:3168, C:57, T:3225])
Q: 가방 안에 이어폰 안 엉키게 하는 거 있어요? -> Keyword: 이어폰정리함 (Latency: 0.825s, Tokens: [P:3165, C:29, T:3194])
Q: 화장실 냄새 심할 때 뿌리는 거 말고 다른 거 있어요? -> Keyword: 탈취제 (Latency: 0.780s, Tokens: [P:3170, C:22, T:3192])
Q: 캠핑 갈 때 쓰는 가벼운 컵 같은 거 있어요? -> Keyword: 일회용컵 (Latency: 1.347s, Tokens: [P:3167, C:48, T:3215])
Q: 여행 갈 때 여권 안 구겨지게 넣는 거 있나요? -> Keyword: 여권케이스 (Latency: 1.402s, Tokens: [P:3166, C:51, T:3217])
Q: 아이 손 닦을 때 들고 다니는 물티슈 넣는 통 있어요? -> Keyword: 물티슈통 (Latency: 1.347s, Tokens: [P:3169, C:41, T:3210])
Q: 비 오는 날 창문 틈으로 물 새는 거 막는 거 있어요? -> Keyword: 방수테이프 (Latency: 1.514s, Tokens: [P:3167, C:30, T:3197])
Q: 문 닫을 때 쾅 소리 안 나게 붙이는 거 있나요? -> Keyword: 소음방지패드 (Latency: 0.838s, Tokens: [P:3168, C:27, T:3195])
Q: 콘센트에 애 손 안 들어가게 막는 거 있어요? -> Keyword: 콘센트 보호커버 (Latency: 1.304s, Tokens: [P:3165, C:36, T:3201])
Q: 냄비 잡을 때 손 안 데게 하는 거 있어요? -> Keyword: 실리콘손잡이 (Latency: 1.095s, Tokens: [P:3164, C:29, T:3193])
Q: 뜨거운 고데기 바로 놓을 수 있는 받침 같은 거 있나요? -> Keyword: 냄비받침 (Latency: 1.046s, Tokens: [P:3167, C:27, T:3194])
Q: 화장대 위에 이것저것 안 흩어지게 모아두는 통 있어요? -> Keyword: 정리함 (Latency: 1.362s, Tokens: [P:3171, C:30, T:3201])
Q: 여름에 모기 안 들어오게 창문에 붙이는 거 있어요? -> Keyword: 방충망 (Latency: 0.939s, Tokens: [P:3167, C:30, T:3197])
Q: 차 안에서 휴대폰 고정해두는 거 있나요? -> Keyword: 휴대폰 거치대 (Latency: 1.313s, Tokens: [P:3164, C:42, T:3206])
Q: 운동화 세탁기 돌릴 때 보호해주는 거 있어요? -> Keyword: 세탁망 (Latency: 1.028s, Tokens: [P:3165, C:29, T:3194])
Q: 아이들 미끄러지지 않게 양말 같은 거 있어요? -> Keyword: 미끄럼방지양말 (Latency: 0.902s, Tokens: [P:3165, C:30, T:3195])
Q: 장마철에 옷장 습기 줄이는 거 뭐 있어요? -> Keyword: 제습제 (Latency: 0.754s, Tokens: [P:3166, C:23, T:3189])
Q: 여행 갈 때 신발 따로 넣는 주머니 있어요? -> Keyword: 신발주머니 (Latency: 1.293s, Tokens: [P:3164, C:39, T:3203])
Q: 컵 밑에 물 안 떨어지게 까는 거 있나요? -> Keyword: 방수매트 (Latency: 0.957s, Tokens: [P:3164, C:32, T:3196])
Q: 집에서 밥 먹을 때 식탁 더러워지는 거 막는 거 있어요? -> Keyword: 코팅식탁보 (Latency: 1.060s, Tokens: [P:3169, C:36, T:3205])
Q: 침대 옆에 핸드폰 올려둘 작은 선반 같은 거 있어요? -> Keyword: 수납선반 (Latency: 1.658s, Tokens: [P:3169, C:68, T:3237])
Q: 화장실에서 휴지 물 안 젖게 하는 거 있나요? -> Keyword: 방수팩 (Latency: 0.751s, Tokens: [P:3165, C:22, T:3187])
Q: 아이 공부할 때 집중 잘 되게 하는 타이머 같은 거 있어요? -> Keyword: 아날로그타이머 (Latency: 1.246s, Tokens: [P:3166, C:35, T:3201])
Q: 여름에 차 안 더울 때 창문 가리는 거 있어요? -> Keyword: 커튼용품 (Latency: 0.854s, Tokens: [P:3165, C:30, T:3195])
Q: 머리 말릴 때 손목 안 아프게 잡는 거 있어요? -> Keyword: 자동헤어드라이기 거치대 (Latency: 1.480s, Tokens: [P:3166, C:46, T:3212])
Q: 겨울에 현관 들어올 때 발 물기 닦는 거 있어요? -> Keyword: 극세사타월 (Latency: 0.709s, Tokens: [P:3167, C:23, T:3190])
Q: 여행 갈 때 화장품 작은 병에 나눠 담는 거 있어요? -> Keyword: 분할케이스 (Latency: 0.917s, Tokens: [P:3168, C:29, T:3197])
Q: 냉장고 안에 반찬통 말고 세워두는 정리용 통 있어요? -> Keyword: 수납정리함 (Latency: 1.030s, Tokens: [P:3171, C:43, T:3214])
Q: 욕실에 수건 말릴 때 거는 거 따로 설치 안 해도 되는 거 있나요? -> Keyword: 흡착후크 (Latency: 1.062s, Tokens: [P:3171, C:33, T:3204])
Q: 아이 장난감 건전지 자주 바꾸는데 보관하는 거 있어요? -> Keyword: 분할케이스 (Latency: 0.994s, Tokens: [P:3168, C:28, T:3196])
Q: 여름에 등에 땀 차는 거 막는 등받이 같은 거 있어요? -> Keyword: 등받이커버 (Latency: 1.124s, Tokens: [P:3169, C:32, T:3201])
Q: 차 안에서 쓰레기 안 굴러다니게 담는 거 있어요? -> Keyword: 쓰레기봉투 홀더 (Latency: 1.193s, Tokens: [P:3168, C:41, T:3209])
Q: 캠핑 갈 때 얼음 오래 안 녹게 담는 통 있어요? -> Keyword: 아이스박스 (Latency: 0.944s, Tokens: [P:3167, C:34, T:3201])
Q: 아이들 색연필 안 흩어지게 넣는 통 있어요? -> Keyword: 칸막이정리함 (Latency: 1.033s, Tokens: [P:3166, C:32, T:3198])
Q: 여행 갈 때 캐리어 이름 표시하는 거 있어요? -> Keyword: 캐리어네임택 (Latency: 1.077s, Tokens: [P:3163, C:46, T:3209])
Q: 화장실 바닥 물 튀는 거 막는 발판 같은 거 있나요? -> Keyword: 방수발판 (Latency: 1.324s, Tokens: [P:3168, C:30, T:3198])
Q: 집에서 빨래 널 때 공간 많이 안 차지하는 거 있어요? -> Keyword: 수납정리함 (Latency: 1.840s, Tokens: [P:3166, C:44, T:3210])
Q: 가방 안에 키랑 동전 안 섞이게 하는 거 있어요? -> Keyword: 분할케이스 (Latency: 0.845s, Tokens: [P:3167, C:31, T:3198])
Q: 여름에 벌레 물렸을 때 바르는 거 있어요? -> Keyword: 벌레물림연고 (Latency: 1.049s, Tokens: [P:3164, C:38, T:3202])
Q: 아이 손톱 정리할 때 쓰는 작은 세트 있어요? -> Keyword: 네일용품 세트 (Latency: 0.811s, Tokens: [P:3165, C:31, T:3196])
Q: 비 오는 날 신발 말리는 거 있어요? -> Keyword: 신발건조기 (Latency: 1.066s, Tokens: [P:3160, C:37, T:3197])
Q: 집에서 고기 구울 때 기름 튀는 거 막는 거 있나요? -> Keyword: 기름받이 (Latency: 0.991s, Tokens: [P:3168, C:40, T:3208])
Q: 욕실에서 휴대폰 올려두는 거 있어요? -> Keyword: 욕실용 수납함 (Latency: 1.697s, Tokens: [P:3163, C:69, T:3232])
Q: 책상 위에 연필 굴러다니는 거 막는 거 있어요? -> Keyword: 연필꽂이 (Latency: 0.888s, Tokens: [P:3168, C:36, T:3204])
Q: 여름에 차 안에서 햇빛 눈부신 거 막는 거 있어요? -> Keyword: 자동차용 선블라인드 (Latency: 1.026s, Tokens: [P:3168, C:34, T:3202])
Q: 아이들 간식 나눠 담는 작은 통 있어요? -> Keyword: 분할케이스 (Latency: 0.928s, Tokens: [P:3163, C:30, T:3193])
Q: 여행 갈 때 빨래 따로 담아둘 주머니 있어요? -> Keyword: 빨래주머니 (Latency: 1.631s, Tokens: [P:3165, C:30, T:3195])
Q: 신발장 문 열면 냄새 덜 나게 하는 거 있어요? -> Keyword: 탈취제 (Latency: 1.002s, Tokens: [P:3167, C:23, T:3190])
Q: 아이가 문에 손 끼일까 봐 막는 거 있어요? -> Keyword: 모서리보호대 (Latency: 1.580s, Tokens: [P:3166, C:37, T:3203])
Q: 차 컵홀더에 맞는 작은 쓰레기통 있어요? -> Keyword: 컵홀더용 쓰레기통 (Latency: 1.497s, Tokens: [P:3165, C:55, T:3220])
Q: 겨울에 손 시릴 때 스마트폰 터치 되는 장갑 있어요? -> Keyword: 터치장갑 (Latency: 1.514s, Tokens: [P:3166, C:32, T:3198])
Q: 캠핑 갈 때 접이식 의자 같은 거 있어요? -> Keyword: 접이식의자 (Latency: 1.436s, Tokens: [P:3164, C:60, T:3224])
Q: 가방 안에서 물병 안 넘어지게 고정하는 거 있어요? -> Keyword: 물병 고정대 (Latency: 1.934s, Tokens: [P:3166, C:36, T:3202])
Q: 욕실에서 발 닦고 바로 신는 슬리퍼 있어요? -> Keyword: 욕실슬리퍼 (Latency: 2.146s, Tokens: [P:3165, C:69, T:3234])
Q: 집에서 머리카락 바닥에 안 떨어지게 자르는 거 있어요? -> Keyword: 헤어컷 방지 매트 (Latency: 1.335s, Tokens: [P:3168, C:42, T:3210])
Q: 아이들 그림 그릴 때 책상 더러워지는 거 막는 거 있어요? -> Keyword: 코팅식탁보 (Latency: 1.032s, Tokens: [P:3168, C:25, T:3193])
Q: 여행 갈 때 목 아플까 봐 받치는 거 있어요? -> Keyword: 목베개 (Latency: 1.359s, Tokens: [P:3165, C:36, T:3201])
Q: 집에서 먼지 닦을 때 손 안 더러워지는 거 있어요? -> Keyword: 청소집게 (Latency: 1.056s, Tokens: [P:3167, C:31, T:3198])
Q: 차 안에서 핸드폰 충전선 안 굴러다니게 하는 거 있어요? -> Keyword: 케이블정리홀더 (Latency: 2.145s, Tokens: [P:3171, C:63, T:3234])
Q: 여름에 실내에서 바람 나오는 작은 선풍기 있어요? -> Keyword: 미니선풍기 (Latency: 1.278s, Tokens: [P:3166, C:42, T:3208])
