Q: 집에서 쓰는 건데 뭐 하나 없을까요? -> Keyword: 생활용품 (Latency: 0.897s, Tokens: [P:118, C:4, T:122])
Q: 애들 있는 집에서 필수템 뭐에요? -> Keyword: 필수템 (Latency: 0.719s, Tokens: [P:118, C:4, T:122])
Q: 집에서 은근히 스트레스 줄여주는 거 있어요? -> Keyword: 스트레스 해소 용품 (Latency: 0.622s, Tokens: [P:121, C:7, T:128])
Q: 이거 자꾸 굴러가요 -> Keyword: 고정대 (Latency: 0.621s, Tokens: [P:118, C:4, T:122])
Q: 어디에 놔야 안 걸리적거려요? -> Keyword: 정리함 (Latency: 0.622s, Tokens: [P:122, C:4, T:126])
Q: 이거 계속 더러워져서요 -> Keyword: 행주 (Latency: 0.625s, Tokens: [P:118, C:3, T:121])
Q: 물 새는 거 막는 거 있어요? -> Keyword: 방수테이프 (Latency: 0.802s, Tokens: [P:117, C:6, T:123])
Q: 애가 물고 빨아도 괜찮은 거 있어요? -> Keyword: 장난감 (Latency: 0.627s, Tokens: [P:120, C:4, T:124])
Q: 집에서 좀 고급져 보이게 하는 거 있어요? -> Keyword: 인테리어 소품 (Latency: 0.624s, Tokens: [P:119, C:6, T:125])
Q: 이거 냄새 배는 거 막는 거 있어요? -> Keyword: 냄새 방지 용품 (Latency: 0.648s, Tokens: [P:121, C:7, T:128])
Q: 눌러서 쓰는 거 말고 다른 거 있어요? -> Keyword: 볼펜 (Latency: 0.671s, Tokens: [P:118, C:3, T:121])
Q: 이거 떨어뜨리면 안 깨지게 하는 거 있어요? -> Keyword: 액세서리 (Latency: 0.672s, Tokens: [P:121, C:5, T:126])
Q: 여기다 뭐 올려두는 거 있어요? -> Keyword: 받침대 (Latency: 0.766s, Tokens: [P:117, C:4, T:121])
Q: 집에서 쓸데없이 자주 찾게 되는 거 있어요? -> Keyword: 물건 (Latency: 0.770s, Tokens: [P:120, C:3, T:123])
Q: 이거 안 보이게 가리는 거 있어요? -> Keyword: 가리개 (Latency: 0.695s, Tokens: [P:118, C:4, T:122])
Q: 애가 자꾸 열어서요 -> Keyword: 안전 문 (Latency: 0.668s, Tokens: [P:116, C:4, T:120])
Q: 이거 계속 축축해요 -> Keyword: 제습제 (Latency: 0.599s, Tokens: [P:115, C:4, T:119])
Q: 바닥 긁히는 거 막는 거 있어요? -> Keyword: 긁힘 방지 패드 (Latency: 0.682s, Tokens: [P:120, C:7, T:127])
Q: 이거 소리 너무 커요 -> Keyword: 소리 (Latency: 0.670s, Tokens: [P:116, C:3, T:119])
Q: 여기다 붙여두면 편한 거 있어요? -> Keyword: 스티커 (Latency: 0.664s, Tokens: [P:119, C:3, T:122])
Q: 집에서 이것저것 걸어두는 거 있어요? -> Keyword: 걸이 (Latency: 0.677s, Tokens: [P:120, C:3, T:123])
Q: 이거 들고 나가도 되는 거에요? -> Keyword: 비닐봉투 (Latency: 0.598s, Tokens: [P:118, C:5, T:123])
Q: 여름에 없으면 좀 불편한 거 뭐에요? -> Keyword: 선풍기 (Latency: 0.774s, Tokens: [P:120, C:4, T:124])
Q: 이거 정리 안 하면 진짜 스트레스에요 -> Keyword: 정리함 (Latency: 0.671s, Tokens: [P:118, C:4, T:122])
Q: 애가 던져도 안 깨지는 거 있어요? -> Keyword: 컵 (Latency: 0.576s, Tokens: [P:119, C:2, T:121])
Q: 이거 자꾸 넘어져요 -> Keyword: 넘어짐 방지 스티커 (Latency: 0.774s, Tokens: [P:116, C:9, T:125])
Q: 냄새 나는 거 숨기는 거 있어요? -> Keyword: 방향제 (Latency: 0.576s, Tokens: [P:117, C:4, T:121])
Q: 이거 물에 담가도 돼요? -> Keyword: 스펀지 (Latency: 0.672s, Tokens: [P:117, C:4, T:121])
Q: 여기다 넣어두면 안 흘러요? -> Keyword: 용기 (Latency: 0.678s, Tokens: [P:118, C:3, T:121])
Q: 애가 혼자 써도 되는 거 있어요? -> Keyword: 학용품 (Latency: 0.676s, Tokens: [P:118, C:4, T:122])
Q: 집에 두면 분위기 바뀌는 거 있어요? -> Keyword: 인테리어 소품 (Latency: 0.774s, Tokens: [P:119, C:6, T:125])
Q: 이거 계속 손에 묻어요 -> Keyword: 풀 (Latency: 0.638s, Tokens: [P:117, C:2, T:119])
Q: 이거 다른 데다 옮겨도 돼요? -> Keyword: 테이프 (Latency: 0.721s, Tokens: [P:118, C:4, T:122])
Q: 애가 자꾸 끌고 다녀요 -> Keyword: 캐리어 (Latency: 0.679s, Tokens: [P:118, C:3, T:121])
Q: 집에서 제일 많이 쓰는 거 뭐에요? -> Keyword: 수납 용품 (Latency: 0.669s, Tokens: [P:117, C:5, T:122])
Q: 이거 매번 닦기 귀찮아요 -> Keyword: 행주 (Latency: 0.576s, Tokens: [P:119, C:3, T:122])
Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 수건 (Latency: 0.680s, Tokens: [P:121, C:3, T:124])
Q: 여기다 올려두면 떨어질까요? -> Keyword: 미끄럼 방지 패드 (Latency: 0.673s, Tokens: [P:117, C:8, T:125])
Q: 이거 차 안에 놔도 돼요? -> Keyword: 방향제 (Latency: 0.755s, Tokens: [P:117, C:4, T:121])
Q: 집에서 없어도 될 줄 알았는데 필요하네요 -> Keyword: 다리미 (Latency: 0.722s, Tokens: [P:121, C:4, T:125])
Q: 이거 애 손 안 닿는 데 둘 수 있어요? -> Keyword: 안전 장치 (Latency: 0.812s, Tokens: [P:121, C:5, T:126])
Q: 이거 계속 찢어져요 -> Keyword: 테이프 (Latency: 0.600s, Tokens: [P:116, C:4, T:120])
Q: 애가 혼자 못 열게 하는 거 있어요? -> Keyword: 안전 잠금 장치 (Latency: 0.781s, Tokens: [P:119, C:7, T:126])
Q: 이거 하나로 다 해결돼요? -> Keyword: 다용도 제품 (Latency: 0.597s, Tokens: [P:117, C:5, T:122])
Q: 집에 두면 은근히 편해지는 거 있어요? -> Keyword: 생활용품 (Latency: 0.694s, Tokens: [P:121, C:4, T:125])
Q: 이거 어디다 두는 게 정석이에요? -> Keyword: 수납함 (Latency: 0.697s, Tokens: [P:119, C:4, T:123])
Q: 이거 자주 사야 하는 거에요? -> Keyword: 상품 (Latency: 0.610s, Tokens: [P:117, C:2, T:119])
Q: 애가 넘어질까 봐 걱정돼요 -> Keyword: 안전용품 (Latency: 0.774s, Tokens: [P:119, C:5, T:124])
Q: 집에서 이거 말고 다른 방법 없어요? -> Keyword: 방법 (Latency: 0.613s, Tokens: [P:117, C:2, T:119])
Q: 이거 안 흘리게 쓰는 법 없어요? -> Keyword: 컵 (Latency: 0.697s, Tokens: [P:119, C:2, T:121])
Q: 애가 자꾸 물어뜯어요 -> Keyword: 손톱깎이 (Latency: 0.604s, Tokens: [P:117, C:5, T:122])
Q: 이거 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 다회용품 (Latency: 0.764s, Tokens: [P:120, C:5, T:125])
Q: 집에서 없어도 되는데 있으면 좋은 거 뭐에요? -> Keyword: 생활용품 (Latency: 0.617s, Tokens: [P:120, C:4, T:124])
Q: 이거 보관 안 하면 망가져요 -> Keyword: 보관 (Latency: 0.596s, Tokens: [P:119, C:3, T:122])
Q: 그냥 요즘 다들 많이 사는 거 뭐에요? -> Keyword: 머리띠 (Latency: 0.614s, Tokens: [P:119, C:4, T:123])
Q: 여행 갈 때 캐리어 안에서 옷 안 구겨지게 하는 거 뭐 있어요? -> Keyword: 옷정리 (Latency: 0.692s, Tokens: [P:126, C:4, T:130])
Q: 비 오는 날 신발 안 젖게 막는 거 있어요? -> Keyword: 덧신 (Latency: 0.612s, Tokens: [P:122, C:3, T:125])
Q: 머리 말릴 때 물 흘러내리는 거 막는 거 있어요? -> Keyword: 헤어밴드 (Latency: 0.792s, Tokens: [P:124, C:5, T:129])
Q: 냉장고 냄새 안 나게 하는 거 뭐 있어요? -> Keyword: 냉장고 탈취제 (Latency: 0.779s, Tokens: [P:122, C:7, T:129])
Q: 욕실 바닥 미끄러워서 안 넘어지게 하는 거 있나요? -> Keyword: 미끄럼 방지 패드 (Latency: 0.680s, Tokens: [P:125, C:8, T:133])
Q: 이사 와서 집 정리 좀 쉽게 하는 거 뭐부터 사야 돼요? -> Keyword: 정리용품 (Latency: 0.684s, Tokens: [P:123, C:5, T:128])
Q: 전선들 너무 엉키는데 정리하는 거 있어요? -> Keyword: 전선정리 (Latency: 0.612s, Tokens: [P:121, C:5, T:126])
Q: 여름에 차 안에 두면 좋은 방향 같은 거 있어요? -> Keyword: 방향제 (Latency: 0.677s, Tokens: [P:121, C:4, T:125])
Q: 아이 책상 위에 올려둘 정리용 통 같은 거 있어요? -> Keyword: 정리용 통 (Latency: 0.776s, Tokens: [P:121, C:5, T:126])
Q: 가방 안에서 화장품 안 새게 보관하는 거 있나요? -> Keyword: 화장품 보관 용기 (Latency: 0.628s, Tokens: [P:125, C:8, T:133])
Q: 비행기 탈 때 목 안 아프게 받치는 거 있어요? -> Keyword: 목베개 (Latency: 0.687s, Tokens: [P:123, C:4, T:127])
Q: 세탁기 돌릴 때 옷 망가지는 거 막는 거 있어요? -> Keyword: 세탁망 (Latency: 0.697s, Tokens: [P:124, C:4, T:128])
Q: 신발 냄새 줄이는 거 뭐 있어요? -> Keyword: 신발 탈취제 (Latency: 0.678s, Tokens: [P:119, C:6, T:125])
Q: 욕실 배수구에 머리카락 안 막히게 하는 거 있나요? -> Keyword: 머리카락 거름망 (Latency: 0.626s, Tokens: [P:126, C:7, T:133])
Q: 여름에 등 붙는 거 싫은데 깔고 앉는 거 있어요? -> Keyword: 방석 (Latency: 0.565s, Tokens: [P:125, C:3, T:128])
Q: 전자레인지 돌려도 되는 그릇 구분이 안 돼서요, 표시된 거 있어요? -> Keyword: 전자레인지용 그릇 (Latency: 0.695s, Tokens: [P:129, C:7, T:136])
Q: 여행 갈 때 세면도구 따로 담는 통 있어요? -> Keyword: 세면도구통 (Latency: 0.811s, Tokens: [P:121, C:6, T:127])
Q: 집에서 커피 마실 때 종이 필터 같은 거 있어요? -> Keyword: 종이 필터 (Latency: 0.615s, Tokens: [P:122, C:5, T:127])
Q: 비 오는 날 우산 물 안 떨어지게 하는 거 있나요? -> Keyword: 우산 물받이 (Latency: 0.697s, Tokens: [P:123, C:6, T:129])
Q: 아이 장난감 정리 좀 쉽게 하는 박스 있어요? -> Keyword: 장난감 정리 박스 (Latency: 0.594s, Tokens: [P:120, C:7, T:127])
Q: 옷장 안에 냄새 안 나게 해주는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 0.681s, Tokens: [P:123, C:4, T:127])
Q: 휴대폰 떨어뜨려도 안 깨지게 하는 케이스 말고 붙이는 거 있어요? -> Keyword: 액정 보호 필름 (Latency: 0.719s, Tokens: [P:128, C:6, T:134])
Q: 차 문 열 때 벽에 안 찍히게 하는 거 있어요? -> Keyword: 문콕방지 (Latency: 0.710s, Tokens: [P:122, C:5, T:127])
Q: 책상 다리 바닥 긁히는 거 막는 거 있나요? -> Keyword: 긁힘 방지 패드 (Latency: 0.609s, Tokens: [P:125, C:7, T:132])
Q: 냉장고 문에 붙여서 메모 붙이는 판 같은 거 있어요? -> Keyword: 메모판 (Latency: 0.695s, Tokens: [P:124, C:4, T:128])
Q: 가방 안에 이어폰 안 엉키게 하는 거 있어요? -> Keyword: 이어폰 정리 (Latency: 0.623s, Tokens: [P:122, C:4, T:126])
Q: 화장실 냄새 심할 때 뿌리는 거 말고 다른 거 있어요? -> Keyword: 방향제 (Latency: 0.611s, Tokens: [P:125, C:4, T:129])
Q: 캠핑 갈 때 쓰는 가벼운 컵 같은 거 있어요? -> Keyword: 컵 (Latency: 0.691s, Tokens: [P:122, C:2, T:124])
Q: 여행 갈 때 여권 안 구겨지게 넣는 거 있나요? -> Keyword: 여권케이스 (Latency: 0.689s, Tokens: [P:124, C:5, T:129])
Q: 아이 손 닦을 때 들고 다니는 물티슈 넣는 통 있어요? -> Keyword: 물티슈통 (Latency: 0.688s, Tokens: [P:126, C:5, T:131])
Q: 비 오는 날 창문 틈으로 물 새는 거 막는 거 있어요? -> Keyword: 방수테이프 (Latency: 0.687s, Tokens: [P:125, C:6, T:131])
Q: 문 닫을 때 쾅 소리 안 나게 붙이는 거 있나요? -> Keyword: 문풍지 (Latency: 0.613s, Tokens: [P:126, C:4, T:130])
Q: 콘센트에 애 손 안 들어가게 막는 거 있어요? -> Keyword: 안전 콘센트 덮개 (Latency: 0.775s, Tokens: [P:121, C:9, T:130])
Q: 냄비 잡을 때 손 안 데게 하는 거 있어요? -> Keyword: 냄비손잡이 (Latency: 0.595s, Tokens: [P:121, C:6, T:127])
Q: 뜨거운 고데기 바로 놓을 수 있는 받침 같은 거 있나요? -> Keyword: 고데기받침 (Latency: 0.598s, Tokens: [P:125, C:6, T:131])
Q: 화장대 위에 이것저것 안 흩어지게 모아두는 통 있어요? -> Keyword: 통 (Latency: 0.693s, Tokens: [P:128, C:2, T:130])
Q: 여름에 모기 안 들어오게 창문에 붙이는 거 있어요? -> Keyword: 방충망 (Latency: 0.692s, Tokens: [P:124, C:4, T:128])
Q: 차 안에서 휴대폰 고정해두는 거 있나요? -> Keyword: 핸드폰 거치대 (Latency: 0.700s, Tokens: [P:122, C:7, T:129])
Q: 운동화 세탁기 돌릴 때 보호해주는 거 있어요? -> Keyword: 운동화 세탁망 (Latency: 0.701s, Tokens: [P:122, C:6, T:128])
Q: 아이들 미끄러지지 않게 양말 같은 거 있어요? -> Keyword: 양말 (Latency: 0.693s, Tokens: [P:122, C:3, T:125])
Q: 장마철에 옷장 습기 줄이는 거 뭐 있어요? -> Keyword: 제습제 (Latency: 0.680s, Tokens: [P:122, C:4, T:126])
Q: 여행 갈 때 신발 따로 넣는 주머니 있어요? -> Keyword: 신발 주머니 (Latency: 0.770s, Tokens: [P:120, C:5, T:125])
Q: 컵 밑에 물 안 떨어지게 까는 거 있나요? -> Keyword: 컵받침 (Latency: 0.726s, Tokens: [P:122, C:4, T:126])
Q: 집에서 밥 먹을 때 식탁 더러워지는 거 막는 거 있어요? -> Keyword: 식탁매트 (Latency: 0.599s, Tokens: [P:127, C:5, T:132])
Q: 침대 옆에 핸드폰 올려둘 작은 선반 같은 거 있어요? -> Keyword: 선반 (Latency: 0.608s, Tokens: [P:124, C:3, T:127])
Q: 화장실에서 휴지 물 안 젖게 하는 거 있나요? -> Keyword: 휴지케이스 (Latency: 0.706s, Tokens: [P:124, C:5, T:129])
Q: 아이 공부할 때 집중 잘 되게 하는 타이머 같은 거 있어요? -> Keyword: 타이머 (Latency: 0.605s, Tokens: [P:123, C:4, T:127])
Q: 여름에 차 안 더울 때 창문 가리는 거 있어요? -> Keyword: 햇빛가리개 (Latency: 0.619s, Tokens: [P:123, C:6, T:129])
Q: 머리 말릴 때 손목 안 아프게 잡는 거 있어요? -> Keyword: 헤어드라이기 (Latency: 0.678s, Tokens: [P:124, C:6, T:130])
Q: 겨울에 현관 들어올 때 발 물기 닦는 거 있어요? -> Keyword: 발매트 (Latency: 0.808s, Tokens: [P:125, C:4, T:129])
Q: 여행 갈 때 화장품 작은 병에 나눠 담는 거 있어요? -> Keyword: 화장품 공병 (Latency: 0.693s, Tokens: [P:123, C:6, T:129])
Q: 냉장고 안에 반찬통 말고 세워두는 정리용 통 있어요? -> Keyword: 정리용 통 (Latency: 0.680s, Tokens: [P:125, C:5, T:130])
Q: 욕실에 수건 말릴 때 거는 거 따로 설치 안 해도 되는 거 있나요? -> Keyword: 수건걸이 (Latency: 0.604s, Tokens: [P:128, C:5, T:133])
Q: 아이 장난감 건전지 자주 바꾸는데 보관하는 거 있어요? -> Keyword: 건전지 (Latency: 0.577s, Tokens: [P:124, C:4, T:128])
Q: 여름에 등에 땀 차는 거 막는 등받이 같은 거 있어요? -> Keyword: 등받이 (Latency: 0.674s, Tokens: [P:126, C:4, T:130])
Q: 차 안에서 쓰레기 안 굴러다니게 담는 거 있어요? -> Keyword: 쓰레기통 (Latency: 0.644s, Tokens: [P:126, C:5, T:131])
Q: 캠핑 갈 때 얼음 오래 안 녹게 담는 통 있어요? -> Keyword: 아이스박스 (Latency: 0.613s, Tokens: [P:123, C:5, T:128])
Q: 아이들 색연필 안 흩어지게 넣는 통 있어요? -> Keyword: 색연필통 (Latency: 0.605s, Tokens: [P:124, C:5, T:129])
Q: 여행 갈 때 캐리어 이름 표시하는 거 있어요? -> Keyword: 캐리어 이름 (Latency: 0.767s, Tokens: [P:119, C:4, T:123])
Q: 화장실 바닥 물 튀는 거 막는 발판 같은 거 있나요? -> Keyword: 발판 (Latency: 0.605s, Tokens: [P:127, C:3, T:130])
Q: 집에서 빨래 널 때 공간 많이 안 차지하는 거 있어요? -> Keyword: 빨래 건조대 (Latency: 0.611s, Tokens: [P:123, C:6, T:129])
Q: 가방 안에 키랑 동전 안 섞이게 하는 거 있어요? -> Keyword: 동전지갑 (Latency: 0.689s, Tokens: [P:124, C:5, T:129])
Q: 여름에 벌레 물렸을 때 바르는 거 있어요? -> Keyword: 벌레 물린데 바르는 약 (Latency: 0.777s, Tokens: [P:122, C:9, T:131])
Q: 아이 손톱 정리할 때 쓰는 작은 세트 있어요? -> Keyword: 손톱 정리 세트 (Latency: 0.606s, Tokens: [P:120, C:6, T:126])
Q: 비 오는 날 신발 말리는 거 있어요? -> Keyword: 신발건조대 (Latency: 0.865s, Tokens: [P:118, C:6, T:124])
Q: 집에서 고기 구울 때 기름 튀는 거 막는 거 있나요? -> Keyword: 기름 방지 (Latency: 0.603s, Tokens: [P:126, C:5, T:131])
Q: 욕실에서 휴대폰 올려두는 거 있어요? -> Keyword: 휴대폰 거치대 (Latency: 0.769s, Tokens: [P:119, C:7, T:126])
Q: 책상 위에 연필 굴러다니는 거 막는 거 있어요? -> Keyword: 연필꽂이 (Latency: 0.694s, Tokens: [P:125, C:5, T:130])
Q: 여름에 차 안에서 햇빛 눈부신 거 막는 거 있어요? -> Keyword: 햇빛가리개 (Latency: 0.694s, Tokens: [P:125, C:6, T:131])
Q: 아이들 간식 나눠 담는 작은 통 있어요? -> Keyword: 간식통 (Latency: 0.693s, Tokens: [P:119, C:4, T:123])
Q: 여행 갈 때 빨래 따로 담아둘 주머니 있어요? -> Keyword: 빨래 주머니 (Latency: 0.697s, Tokens: [P:121, C:5, T:126])
Q: 신발장 문 열면 냄새 덜 나게 하는 거 있어요? -> Keyword: 신발장 탈취제 (Latency: 0.609s, Tokens: [P:125, C:7, T:132])
Q: 아이가 문에 손 끼일까 봐 막는 거 있어요? -> Keyword: 문 틈 막이 (Latency: 0.819s, Tokens: [P:122, C:6, T:128])
Q: 차 컵홀더에 맞는 작은 쓰레기통 있어요? -> Keyword: 쓰레기통 (Latency: 0.644s, Tokens: [P:122, C:5, T:127])
Q: 겨울에 손 시릴 때 스마트폰 터치 되는 장갑 있어요? -> Keyword: 장갑 (Latency: 0.768s, Tokens: [P:124, C:3, T:127])
Q: 캠핑 갈 때 접이식 의자 같은 거 있어요? -> Keyword: 접이식 의자 (Latency: 0.682s, Tokens: [P:121, C:6, T:127])
Q: 가방 안에서 물병 안 넘어지게 고정하는 거 있어요? -> Keyword: 물병 고정대 (Latency: 0.775s, Tokens: [P:124, C:6, T:130])
Q: 욕실에서 발 닦고 바로 신는 슬리퍼 있어요? -> Keyword: 슬리퍼 (Latency: 0.672s, Tokens: [P:123, C:4, T:127])
Q: 집에서 머리카락 바닥에 안 떨어지게 자르는 거 있어요? -> Keyword: 머리카락 정리 도구 (Latency: 0.671s, Tokens: [P:125, C:7, T:132])
Q: 아이들 그림 그릴 때 책상 더러워지는 거 막는 거 있어요? -> Keyword: 미술용품 (Latency: 0.697s, Tokens: [P:126, C:5, T:131])
Q: 여행 갈 때 목 아플까 봐 받치는 거 있어요? -> Keyword: 목베개 (Latency: 0.669s, Tokens: [P:121, C:4, T:125])
Q: 집에서 먼지 닦을 때 손 안 더러워지는 거 있어요? -> Keyword: 먼지떨이 (Latency: 0.678s, Tokens: [P:125, C:5, T:130])
Q: 차 안에서 핸드폰 충전선 안 굴러다니게 하는 거 있어요? -> Keyword: 핸드폰 충전선 정리대 (Latency: 0.665s, Tokens: [P:128, C:9, T:137])
Q: 여름에 실내에서 바람 나오는 작은 선풍기 있어요? -> Keyword: 선풍기 (Latency: 0.658s, Tokens: [P:122, C:4, T:126])
Q: 화장실 냄새 오래 잡아주는 거 있어요? -> Keyword: 방향제 (Latency: 0.758s, Tokens: [P:120, C:4, T:124])
Q: 아이들 우산 잃어버리지 않게 이름 적는 거 있어요? -> Keyword: 네임 스티커 (Latency: 0.719s, Tokens: [P:125, C:6, T:131])
Q: 냉장고 문 열 때 병 안 넘어지게 하는 거 있어요? -> Keyword: 병 (Latency: 0.682s, Tokens: [P:123, C:1, T:124])
Q: 여행 갈 때 귀 안 아프게 막는 거 있어요? -> Keyword: 귀마개 (Latency: 0.611s, Tokens: [P:121, C:4, T:125])
Q: 집에서 물컵 쏟아도 흡수 잘 되는 매트 있어요? -> Keyword: 매트 (Latency: 0.619s, Tokens: [P:124, C:3, T:127])
Q: 차 안에서 햇빛 때문에 대시보드 뜨거워지는 거 막는 거 있어요? -> Keyword: 대시보드커버 (Latency: 0.772s, Tokens: [P:128, C:7, T:135])
