Status,Question,Intention,Keyword,Note
MATCH,씻고 나와서 바닥 안 미끄럽게 하는 거 있어요?,욕실 미끄럼 방지 매트 구매,바닥 미끄럼 방지제,"MATCH | The extracted keyword ""바닥 미끄럼 방지제"" (floor anti-slip agent) is relevant to the user's intention of purchasing a ""욕실 미끄럼 방지 매트"" (bathroom anti-slip mat). Both terms relate to preventing slipping on the floor, which aligns with the user's inquiry about making the floor less slippery after washing."
MATCH,차 안에 두면 좋은 거 뭐 있어요?,차량용 방향제 / 차량 정리용품 추천,차량용 용품,"MATCH | The extracted keyword ""차량용 용품"" is a broad term that encompasses various products for vehicles, including the recommended items like 차량용 방향제 (car air freshener) and 차량 정리용품 (car organization products). Therefore, it aligns well with the user's intention."
MATCH,여행 갈 때 하나쯤 사두면 좋은 거 있어요?,여행용 파우치 / 목베개 / 수면안대 추천,여행용품,"MATCH | The keyword ""여행용품"" (travel goods) is a broad term that encompasses various travel-related items, including the specific products mentioned in the target intention (travel pouches, neck pillows, sleep masks). Therefore, it is a reasonable search term to fulfill the user's intention."
MISMATCH,애 키우는 집에서 많이 사는 거 뭐에요?,유아 안전용품 / 수납함 / 놀이매트 추천,애완용품,"MISMATCH | The extracted keyword ""애완용품"" refers to pet supplies, which is not relevant to the user's intention of finding products related to child safety, storage solutions, or play mats for infants."
MATCH,이거 계속 젖는데 안 젖게 하는 거 있어요?,방수커버 / 방수 파우치 구매,방수 제품,"MATCH | The extracted keyword ""방수 제품"" (waterproof product) is relevant and aligns with the user's intention of purchasing a waterproof cover or pouch, as it encompasses the general category of products that would prevent getting wet."
MATCH,냄새 안 나게 하는 거 뭐 있어요?,탈취제 / 방향제 구매,탈취제,"MATCH | The extracted keyword ""탈취제"" (deodorant) directly relates to the user's intention of purchasing a product that prevents odors, which aligns with the target intention of ""탈취제 / 방향제 구매"" (purchase of deodorants / air fresheners)."
MATCH,이거 보관 좀 잘하는 방법 없어요?,수납박스 / 정리함 구매,보관함,"MATCH | The extracted keyword ""보관함"" (storage box) is relevant and aligns well with the target intention of purchasing ""수납박스 / 정리함"" (storage box / organizer). It directly relates to the user's inquiry about methods for proper storage, indicating a search for products that can help with organization."
MATCH,가끔 필요할 때 쓰는 그런 거 있어요?,멀티툴 / 다용도 소품 추천,용품,"MATCH | The extracted keyword ""용품"" (which means ""items"" or ""supplies"") is relevant to the user's intention of seeking recommendations for a multi-tool or versatile items, as it encompasses a broad category of products that could include multi-tools."
MATCH,정리 좀 쉽게 하는 거 뭐 없어요?,수납 정리함 / 바스켓 구매,정리함,"MATCH | The extracted keyword ""정리함"" (which translates to ""organizer"" or ""storage box"") is relevant and aligns well with the target intention of purchasing a ""수납 정리함"" (storage organizer) or ""바스켓"" (basket). It directly relates to the user's request for easier organization solutions."
MISMATCH,이거 자꾸 엉키는데 풀기 귀찮아서요,케이블 정리 클립 / 이어폰 케이스 구매,풀기,"MISMATCH | The extracted keyword ""풀기"" (which means ""to untangle"") does not directly relate to the products described in the target intention, which are ""케이블 정리 클립"" (cable organizing clips) and ""이어폰 케이스"" (earphone case). The intention is focused on purchasing items for organization, while the keyword suggests a need for a solution to a problem rather than a product search."
MISMATCH,붙여두면 좋은 거 뭐 있어요?,다용도 후크 / 양면테이프 구매,붙여두면 좋은 것,"MISMATCH | The extracted keyword ""붙여두면 좋은 것"" (things that are good to stick) is too vague and does not specifically refer to the products mentioned in the target intention, which are ""다용도 후크"" (multi-purpose hooks) and ""양면테이프"" (double-sided tape). The keyword does not directly lead to finding these specific items."
MISMATCH,열 받지 않게 하는 거 있어요?,내열 패드 / 손잡이 커버 구매,열 받지 않게 하는 제품,"MISMATCH | The extracted keyword ""열 받지 않게 하는 제품"" does not specifically indicate a desire to purchase a ""내열 패드"" or ""손잡이 커버."" It is more general and does not directly align with the specific products mentioned in the target intention."
MATCH,아이가 넘어질까 봐 깔아두는 거 있어요?,놀이매트 / 미끄럼 방지 매트 구매,매트,"MATCH | The extracted keyword ""매트"" (mat) is relevant as it directly relates to the user's intention of purchasing a ""놀이매트"" (play mat) or ""미끄럼 방지 매트"" (non-slip mat). It captures the essence of the products being sought."
MISMATCH,문 닫힐 때 소리 안 나게 하는 거 있나요?,문충격 방지 패드 구매,방음패드,"MISMATCH | The extracted keyword ""방음패드"" (soundproof pad) does not directly match the target intention of purchasing ""문충격 방지 패드"" (door impact prevention pad). While both relate to sound reduction, the specific intention is focused on preventing noise from the door closing, which is more accurately described by the term ""문충격 방지 패드."""
MATCH,바람 막는 거 같은 거 있어요?,문풍지 / 틈새막이 구매,바람막이,"MATCH | The extracted keyword ""바람막이"" (which translates to ""wind blocker"") is relevant to the user's intention of purchasing ""문풍지"" (draft stopper) or ""틈새막이"" (gap filler). Both terms relate to products that prevent wind from entering through gaps, making ""바람막이"" a suitable search term for finding these types of products."
MATCH,비 오는 날 쓰는 건데 이름을 모르겠어요,우산용품 / 신발 방수커버 구매,우산,"MATCH | The keyword ""우산"" (umbrella) is relevant to the user's intention of purchasing rain-related products, as it directly relates to items used on a rainy day. However, it does not encompass the full scope of the intention, which includes waterproof shoe covers. Nonetheless, it is a reasonable search term for finding products related to the user's needs."
MISMATCH,이거 너무 미끄러워서요,논슬립 패드 / 미끄럼 방지 테이프 구매,미끄럼 방지 매트,"MISMATCH | The extracted keyword ""미끄럼 방지 매트"" refers to a non-slip mat, which is not the same as a non-slip pad or anti-slip tape that the user intends to purchase. The intention specifically mentions purchasing a non-slip pad or tape, making the extracted keyword not fully aligned with the user's intention."
MATCH,하나로 여러 번 쓰는 거 뭐 있어요?,다용도 클리너 / 멀티툴 추천,멀티툴,"MATCH | The extracted keyword ""멀티툴"" (multitool) aligns well with the target intention of recommending a versatile cleaner or multitool, as it directly relates to the concept of a multifunctional tool that can be used for various purposes."
MATCH,집에 놓아두면 계속 쓰게 되는 거 있어요?,생활 편의소품 추천,소품,"MATCH | The extracted keyword ""소품"" (which means ""items"" or ""accessories"") is relevant to the target intention of recommending ""생활 편의소품"" (lifestyle convenience items). It captures the essence of the user's inquiry about items that can be used at home for convenience."
MISMATCH,이거 자꾸 흘러서 짜증 나요,컵뚜껑 / 흘림방지 용기 구매,제품,"MISMATCH | The extracted keyword ""제품"" (product) is too vague and does not specifically relate to the user's intention of finding a ""컵뚜껑"" (cup lid) or ""흘림방지 용기"" (spill-proof container). It does not help in narrowing down the search to the specific items the user is looking for."
MATCH,가방 안에서 안 부딪히게 하는 거 있나요?,완충 파우치 / 정리 인서트 구매,파우치,"MATCH | The extracted keyword ""파우치"" (pouch) is relevant as it relates to the intention of purchasing a ""완충 파우치"" (cushion pouch) which is designed to prevent items from colliding inside a bag."
MISMATCH,이거 너무 작아서 자꾸 잃어버려요,미니 케이스 / 네임택 구매,작은 물건,"MISMATCH | The extracted keyword ""작은 물건"" (small item) is too vague and does not specifically relate to the intention of purchasing a ""미니 케이스"" (mini case) or ""네임택"" (name tag). It does not directly help in finding the specific products mentioned in the target intention."
MISMATCH,어디다 두면 안 보이게 숨겨둘 수 있어요?,숨김 수납함 / 틈새 수납함 구매,숨김용품,"MISMATCH | The extracted keyword ""숨김용품"" (hidden items) does not specifically refer to the type of storage solutions (숨김 수납함 / 틈새 수납함) that the user intends to purchase. It is too broad and does not directly align with the user's intention of finding specific hidden storage options."
MATCH,이거 정리 안 하면 집이 더러워 보여서요,정리 바스켓 / 수납 트레이 구매,정리함,"MATCH | The extracted keyword ""정리함"" (which translates to ""organizer"" or ""storage box"") is relevant to the target intention of purchasing a ""정리 바스켓"" (organizing basket) or ""수납 트레이"" (storage tray). Both the extracted keyword and the target intention relate to organizing and storage solutions, making it a suitable search term."
MATCH,애 손 안 닿게 하는 거 있어요?,안전 잠금장치 / 상부 수납함 구매,애 손 안 닿게 하는 거,"MATCH | The extracted keyword ""애 손 안 닿게 하는 거"" aligns with the user's intention of finding a safety locking device or upper storage box, as it directly addresses the concern of keeping children safe and out of reach."
MATCH,물기 많은 데 써도 되는 거 있어요?,방수 소품 / 욕실용품 구매,타올,"MATCH | The keyword ""타올"" (towel) is relevant because towels are often used in wet environments like bathrooms, and they can be considered a water-resistant item. This aligns with the user's intention of looking for waterproof or bathroom-related products."
MISMATCH,이거 좀 덜 귀찮게 하는 방법 없어요?,자동 디스펜서 / 편의도구 추천,방법,"MISMATCH | The extracted keyword ""방법"" (meaning ""method"" or ""way"") is too vague and does not specifically relate to the intention of recommending an ""automatic dispenser"" or ""convenience tools."" It does not help in finding the specific products described in the target intention."
MATCH,집에서 많이 쓰는 그거 있잖아요,베스트셀러 생활용품 추천,생활용품,"MATCH | The extracted keyword ""생활용품"" (household goods) aligns well with the target intention of recommending best-selling household products, as it encompasses a broad range of items that are commonly used at home."
MISMATCH,자주 안 쓰는데 없으면 불편한 거 뭐에요?,비상용 생활소품 추천,제품,"MISMATCH | The extracted keyword ""제품"" (product) is too vague and does not specifically relate to the intention of recommending emergency household items. The intention is looking for specific items that are not frequently used but are necessary in emergencies, while ""제품"" does not convey that specificity."
MISMATCH,이거 들고 다니기 편하게 하는 거 있어요?,휴대용 파우치 / 스트랩 구매,가방,"MISMATCH | The extracted keyword ""가방"" (bag) does not specifically address the user's intention of finding a ""휴대용 파우치"" (portable pouch) or ""스트랩"" (strap). While a bag may be related to carrying items, it does not directly match the specific products the user is looking for."
MATCH,더 깔끔하게 보이게 하는 거 있어요?,정리함 / 커버형 수납함 구매,정리함,"MATCH | The extracted keyword ""정리함"" directly relates to the user's intention of purchasing a ""정리함 / 커버형 수납함,"" as it refers to a storage or organizing box, which aligns with the goal of making things look cleaner."
MATCH,냄새 오래 잡아주는 거 있어요?,장시간 탈취제 구매,탈취제,"MATCH | The extracted keyword ""탈취제"" (deodorant) is relevant and aligns well with the target intention of purchasing a product that provides long-lasting odor removal. It directly addresses the user's inquiry about a product that can keep odors at bay for an extended period."
MISMATCH,붙여놨다가 떼도 자국 안 남는 거 있어요?,무자국 후크 / 제거형 양면테이프 구매,스티커,"MISMATCH | The extracted keyword ""스티커"" (sticker) does not align with the user's intention of finding a product that leaves no residue, such as a ""무자국 후크"" (no-mark hook) or ""제거형 양면테이프"" (removable double-sided tape). Stickers typically adhere permanently or leave residue when removed, which does not match the user's request."
MISMATCH,여름용이랑 겨울용 다른 거 있어요?,계절용 생활소품 추천,의류,"MISMATCH | The extracted keyword ""의류"" (clothing) does not directly relate to the intention of recommending seasonal lifestyle products, which could include a variety of items beyond just clothing. The user's question implies a broader interest in seasonal products, not limited to apparel."
MISMATCH,애들 있는 집에서 필수템 뭐에요?,유아 안전용품 / 놀이매트 추천,필수템,"MISMATCH | The extracted keyword ""필수템"" (essential items) is too vague and does not specifically point to the intended products of ""유아 안전용품"" (child safety products) or ""놀이매트"" (play mats). It does not directly help in finding the specific items mentioned in the target intention."
MISMATCH,집에서 은근히 스트레스 줄여주는 거 있어요?,정리용품 / 방향제 추천,스트레스 완화 제품,"MISMATCH | The extracted keyword ""스트레스 완화 제품"" (stress relief products) is too broad and does not specifically align with the user's intention of seeking recommendations for ""정리용품"" (organizing products) or ""방향제"" (air fresheners). The intention is focused on specific types of products, while the extracted keyword encompasses a wider range of stress relief items."
MISMATCH,이거 자꾸 굴러가요,논슬립 트레이 / 고정 패드 구매,공기,"MISMATCH | The extracted keyword ""공기"" (air) is irrelevant to the user's intention of purchasing a non-slip tray or fixing pad. It does not relate to the product needed to prevent items from rolling."
MISMATCH,어디에 놔야 안 걸리적거려요?,벽걸이 수납함 / 후크 구매,정리함,"MISMATCH | The extracted keyword ""정리함"" (organizer) is too general and does not specifically indicate a wall-mounted storage solution or hooks, which are the intended products in the user's question."
MISMATCH,이거 계속 더러워져서요,보호커버 / 덮개 구매,청소용품,"MISMATCH | The extracted keyword ""청소용품"" (cleaning supplies) does not directly relate to the intention of purchasing a ""보호커버 / 덮개"" (protective cover / lid). The user's concern about something getting dirty suggests they are looking for a protective solution rather than cleaning products."
MATCH,물 새는 거 막는 거 있어요?,방수테이프 / 실리콘 패치 구매,방수 테이프,"MATCH | The extracted keyword ""방수 테이프"" directly relates to the user's intention of purchasing a waterproof tape or silicone patch, as it is a specific product that can help prevent leaks."
MISMATCH,애가 물고 빨아도 괜찮은 거 있어요?,유아용 실리콘 소품 구매,장난감,"MISMATCH | The extracted keyword ""장난감"" (toy) is too broad and does not specifically indicate a silicone product suitable for infants, which is the target intention of purchasing ""유아용 실리콘 소품"" (infant silicone items)."
MATCH,집에서 좀 고급져 보이게 하는 거 있어요?,인테리어 소품 / 무드등 추천,인테리어 소품,"MATCH | The extracted keyword ""인테리어 소품"" aligns well with the target intention of recommending decorative items or mood lights to enhance the ambiance at home. It is relevant to the user's request for something that makes their home look more upscale."
MATCH,이거 냄새 배는 거 막는 거 있어요?,탈취 패드 / 방취 커버 구매,탈취제,"MATCH | The extracted keyword ""탈취제"" (deodorant) is relevant as it relates to the intention of purchasing a product that prevents odors, such as ""탈취 패드"" (deodorizing pad) or ""방취 커버"" (odor-blocking cover). It captures the essence of the user's inquiry about preventing smells."
MISMATCH,눌러서 쓰는 거 말고 다른 거 있어요?,스프레이형 / 자동형 디스펜서 구매,다른 것,"MISMATCH | The extracted keyword ""다른 것"" is too vague and does not specifically relate to the intention of purchasing a ""스프레이형 / 자동형 디스펜서."" It does not help in identifying or finding the specific product type mentioned in the target intention."
MATCH,이거 떨어뜨리면 안 깨지게 하는 거 있어요?,완충 케이스 / 실리콘 커버 구매,보호대,"MATCH | The keyword ""보호대"" (which translates to ""protector"" or ""protection cover"") is relevant to the user's intention of finding a protective case or silicone cover to prevent damage when dropping an item. It aligns well with the concept of a protective accessory, thus fulfilling the intention."
MISMATCH,여기다 뭐 올려두는 거 있어요?,트레이 / 선반 구매,받침대,"MISMATCH | The extracted keyword ""받침대"" (which translates to ""stand"" or ""support"") does not directly relate to the intention of purchasing a ""트레이"" (tray) or ""선반"" (shelf). The intention is specifically about buying trays or shelves, while the keyword suggests a more general support item that may not fulfill the user's specific request."
MISMATCH,집에서 쓸데없이 자주 찾게 되는 거 있어요?,생활 편의소품 추천,잡화,"MISMATCH | The extracted keyword ""잡화"" (which translates to ""miscellaneous goods"") is too broad and does not specifically align with the intention of recommending ""생활 편의소품"" (lifestyle convenience items). The intention seeks specific suggestions for useful household items, while ""잡화"" could refer to a wide range of unrelated products."
MATCH,이거 안 보이게 가리는 거 있어요?,커버 / 가림막 구매,가리개,"MATCH | ""가리개"" is a synonym for a cover or something that conceals, which aligns well with the user's intention to purchase a cover or a遮挡物 (가림막)."
MISMATCH,애가 자꾸 열어서요,서랍 안전잠금장치 구매,열쇠,"MISMATCH | The extracted keyword ""열쇠"" (key) does not directly relate to the intention of purchasing a ""서랍 안전잠금장치"" (drawer safety lock). The intention is focused on a specific product for securing a drawer, while ""열쇠"" refers to a key, which is not specific enough to help find the intended product."
MISMATCH,이거 계속 축축해요,제습제 / 건조 패드 구매,수건,"MISMATCH | The extracted keyword ""수건"" (towel) does not directly relate to the intention of purchasing a dehumidifier or drying pad. The user's concern about something being ""축축해요"" (damp) suggests a need for a product that can reduce moisture, which is not addressed by a towel."
MATCH,바닥 긁히는 거 막는 거 있어요?,의자 다리 보호패드 구매,바닥 보호대,"MATCH | The extracted keyword ""바닥 보호대"" (floor protector) is relevant as it relates to protecting the floor from scratches, which aligns with the user's intention to purchase chair leg protectors."
MISMATCH,이거 소리 너무 커요,소음 방지 패드 / 방음 매트 구매,소리,"MISMATCH | The extracted keyword ""소리"" (sound) is too general and does not specifically relate to the intention of purchasing ""소음 방지 패드"" (noise prevention pads) or ""방음 매트"" (soundproof mats). A more relevant keyword would directly reference noise reduction products."
MISMATCH,여기다 붙여두면 편한 거 있어요?,다용도 후크 / 거치대 구매,붙여두는 것,"MISMATCH | The extracted keyword ""붙여두는 것"" (something to stick) is too vague and does not specifically refer to the intended products, which are ""다용도 후크"" (multi-purpose hooks) or ""거치대"" (mounts). It does not directly indicate a search for purchasing these specific items."
MATCH,집에서 이것저것 걸어두는 거 있어요?,벽걸이 수납 후크 구매,걸이,"MATCH | The extracted keyword ""걸이"" relates to the concept of hanging or hooks, which aligns with the intention of purchasing wall-mounted storage hooks. It is a relevant term that can help in finding the desired product."
MISMATCH,이거 들고 나가도 되는 거에요?,휴대용 케이스 / 파우치 구매,없음,"MISMATCH | The extracted keyword ""없음"" does not provide any relevant information or terms that would help in finding a portable case or pouch, which is the target intention."
MISMATCH,여름에 없으면 좀 불편한 거 뭐에요?,선풍기 / 쿨방석 추천,여름용품,"MISMATCH | The extracted keyword ""여름용품"" (summer products) is too broad and does not specifically point to the intended products of ""선풍기"" (fan) or ""쿨방석"" (cooling seat cushion). It does not directly fulfill the user's request for recommendations on specific items that would alleviate discomfort in summer."
MATCH,이거 정리 안 하면 진짜 스트레스에요,대형 수납함 / 정리 바스켓 구매,정리함,"MATCH | The extracted keyword ""정리함"" (storage box) is relevant and aligns well with the target intention of purchasing a ""대형 수납함"" (large storage box) or ""정리 바스켓"" (organizing basket), as it directly relates to the concept of organization and storage solutions."
MISMATCH,애가 던져도 안 깨지는 거 있어요?,실리콘 식기 / 유아 안전컵 구매,플라스틱 공,"MISMATCH | The extracted keyword ""플라스틱 공"" (plastic ball) does not relate to the intention of purchasing ""실리콘 식기 / 유아 안전컵"" (silicone tableware / baby safety cup). The intention is focused on safe dining products for children, while the keyword refers to a toy, which is irrelevant to the user's request."
MATCH,이거 자꾸 넘어져요,고정 패드 / 받침대 구매,받침대,"MATCH | The extracted keyword ""받침대"" (which means ""support"" or ""base"") is relevant to the user's intention of purchasing a ""고정 패드 / 받침대"" (fixed pad / support base) to prevent the item from tipping over. It directly relates to the need for a stabilizing product."
MATCH,냄새 나는 거 숨기는 거 있어요?,방향제 / 커버형 탈취제 구매,탈취제,"MATCH | The extracted keyword ""탈취제"" (deodorizer) is relevant and aligns well with the target intention of purchasing a ""방향제 / 커버형 탈취제"" (air freshener / cover-type deodorizer), as it directly relates to the product being sought."
MISMATCH,이거 물에 담가도 돼요?,방수 제품 탐색,물,"MISMATCH | The extracted keyword ""물"" (water) is too general and does not specifically relate to the search for waterproof products. The intention is to explore waterproof items, which requires more specific keywords related to waterproofing rather than just the presence of water."
MATCH,여기다 넣어두면 안 흘러요?,밀폐용기 구매,용기,"MATCH | The extracted keyword ""용기"" (which means ""container"" in Korean) is relevant to the target intention of purchasing a ""밀폐용기"" (sealed container). It helps in finding the product described in the intention."
MATCH,애가 혼자 써도 되는 거 있어요?,유아용 컵 / 학습용품 구매,학용품,"MATCH | The extracted keyword ""학용품"" (school supplies) is relevant as it encompasses a broader category that includes learning materials and products suitable for children, which aligns with the user's intention of purchasing ""유아용 컵 / 학습용품"" (children's cups / learning supplies)."
MATCH,집에 두면 분위기 바뀌는 거 있어요?,인테리어 소품 / 조명 추천,인테리어 소품,"MATCH | The extracted keyword ""인테리어 소품"" aligns well with the target intention of recommending interior decor items or lighting that can change the atmosphere of a home."
MISMATCH,이거 계속 손에 묻어요,손잡이 커버 / 디스펜서 구매,손 세정제,"MISMATCH | The extracted keyword ""손 세정제"" (hand sanitizer) does not directly relate to the intention of purchasing a ""손잡이 커버 / 디스펜서"" (handle cover/dispenser). The intention is focused on a product that covers or dispenses, while the keyword refers to a cleaning product."
MISMATCH,이거 다른 데다 옮겨도 돼요?,이동식 수납함 구매,이거,"MISMATCH | The extracted keyword ""이거"" (meaning ""this"" in English) is too vague and does not specify the product or context needed to fulfill the intention of purchasing a ""이동식 수납함"" (mobile storage box). It does not help in finding the specific product described in the intention."
MISMATCH,애가 자꾸 끌고 다녀요,바퀴 고정 패드 / 이동 방지 패드 구매,장난감,"MISMATCH | The extracted keyword ""장난감"" (toy) does not directly relate to the intention of purchasing ""바퀴 고정 패드 / 이동 방지 패드"" (wheel locking pads / anti-movement pads). The intention is focused on a specific product to prevent movement, while ""장난감"" refers to toys, which is irrelevant to the user's need."
MATCH,집에서 제일 많이 쓰는 거 뭐에요?,베스트셀러 생활용품 추천,가정용품,"MATCH | The extracted keyword ""가정용품"" (household items) is relevant to the target intention of recommending best-selling household products, as it encompasses a wide range of items that are commonly used at home."
MISMATCH,이거 매번 닦기 귀찮아요,방수 커버 / 오염 방지 패드 구매,청소용품,"MISMATCH | The extracted keyword ""청소용품"" (cleaning supplies) is too broad and does not specifically relate to the intention of purchasing a waterproof cover or stain prevention pad. The user's intention is focused on a specific product type, while the keyword does not directly lead to that."
MISMATCH,물에 젖어도 냄새 안 나는 거 있어요?,항균 매트 / 속건 타월 구매,탈취제,"MISMATCH | The extracted keyword ""탈취제"" (deodorizer) does not directly relate to the intention of purchasing ""항균 매트"" (antibacterial mat) or ""속건 타월"" (quick-drying towel). The user's question is about products that do not smell even when wet, which is more aligned with the properties of the intended products rather than a deodorizer."
MATCH,여기다 올려두면 떨어질까요?,논슬립 트레이 / 거치대 구매,떨어짐 방지 매트,"MATCH | The extracted keyword ""떨어짐 방지 매트"" (anti-slip mat) is relevant to the target intention of purchasing a ""논슬립 트레이 / 거치대"" (non-slip tray / stand), as it describes a product that serves a similar purpose of preventing items from slipping or falling."
MISMATCH,이거 차 안에 놔도 돼요?,차량용 수납함 / 방향제 구매,차량용품,"MISMATCH | The extracted keyword ""차량용품"" (car accessories) is too broad and does not specifically relate to the user's intention of purchasing a ""차량용 수납함"" (car storage box) or ""방향제"" (air freshener). The intention requires more specific keywords to effectively find the desired products."
MISMATCH,집에서 없어도 될 줄 알았는데 필요하네요,생활 편의소품 추천,필요한 것,"MISMATCH | The extracted keyword ""필요한 것"" (things that are needed) is too vague and does not specifically relate to the intention of recommending convenient household items. The intention is looking for specific suggestions for lifestyle convenience products, while the keyword does not provide that focus."
MISMATCH,이거 애 손 안 닿는 데 둘 수 있어요?,벽걸이 수납함 / 상부 수납함 구매,장난감,"MISMATCH | The extracted keyword ""장난감"" (toy) does not directly relate to the intention of purchasing a wall-mounted storage box or upper storage box. The intention is focused on a specific type of storage solution, while the keyword refers to a general category of items (toys) that may not lead to relevant search results for the intended product."
MISMATCH,이거 계속 찢어져요,내구성 좋은 커버 / 보호필름 구매,종이,"MISMATCH | The extracted keyword ""종이"" (paper) does not directly relate to the intention of purchasing a durable cover or protective film. The intention focuses on finding a product that offers protection and durability, while ""종이"" does not convey that need."
MATCH,애가 혼자 못 열게 하는 거 있어요?,안전 잠금장치 구매,안전장치,"MATCH | The extracted keyword ""안전장치"" (safety device) is relevant and aligns with the target intention of purchasing a safety lock for preventing a child from opening something alone. It captures the essence of the user's need for a safety mechanism."
MISMATCH,이거 하나로 다 해결돼요?,멀티클리너 / 다용도 도구 추천,해결책,"MISMATCH | The extracted keyword ""해결책"" (solution) does not directly relate to the intention of recommending a multi-cleaner or versatile tool. The intention is focused on specific product recommendations, while the keyword is too general and does not indicate a search for a multi-purpose cleaning tool."
MATCH,집에 두면 은근히 편해지는 거 있어요?,생활 편의소품 추천,편리한 물건,"MATCH | The extracted keyword ""편리한 물건"" (convenient items) aligns well with the target intention of recommending ""생활 편의소품"" (lifestyle convenience items). It captures the essence of seeking products that enhance convenience in daily life, which is what the user is looking for."
MISMATCH,이거 어디다 두는 게 정석이에요?,보관 위치 안내 / 수납용품 구매,정석,"MISMATCH | The extracted keyword ""정석"" (which translates to ""standard"" or ""correct method"") does not directly relate to the intention of finding storage location guidance or purchasing storage products. It does not help in identifying or locating the relevant products or information."
MISMATCH,이거 자주 사야 하는 거에요?,소모품 탐색(리필형 제품),제품,"MISMATCH | The extracted keyword ""제품"" (product) is too broad and does not specifically relate to the user's intention of exploring consumables or refillable products. A more specific keyword related to consumables would better match the intention."
MISMATCH,애가 넘어질까 봐 걱정돼요,놀이매트 / 안전매트 구매,안전용품,"MISMATCH | The extracted keyword ""안전용품"" (safety products) is too broad and does not specifically point to the intended products of ""놀이매트"" (play mat) or ""안전매트"" (safety mat). While it relates to safety, it does not directly help in finding the specific items the user is looking to purchase."
