Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword:  (Latency: 31.533s, Tokens: [P:3277, C:154, T:3431])
Q: 바람 막아주는 거 있어요? -> Keyword: 방수파우치 (Latency: 17.632s, Tokens: [P:3271, C:94, T:3365])
Q: 햇빛 가려주는 거 있어요? -> Keyword: ** 방조력매트 (Latency: 30.845s, Tokens: [P:3272, C:44, T:3316])
Q: 습기 줄여주는 거 있어요? -> Keyword: 방수팩 (Latency: 27.649s, Tokens: [P:3271, C:519, T:3790])
Q: 냄새 섞이지 않게 하는 거 있어요? -> Keyword:  (Latency: 607.684s, Tokens: [P:3275, C:342, T:3617])
Q: 쉽게 들고 다닐 수 있는 거 있어요? -> Keyword:  (Latency: 17.822s, Tokens: [P:3276, C:343, T:3619])
Q: 바퀴 안 굴러가게 하는 거 있어요? -> Keyword:  (Latency: 13.787s, Tokens: [P:3276, C:519, T:3795])
Q: 물 얼룩 안 남는 거 있어요? -> Keyword: ** 규조토 발매트 (Latency: 28.765s, Tokens: [P:3273, C:108, T:3381])
Q: 손에 묻지 않게 쓰는 거 있어요? -> Keyword: ** hands-free용기 (Latency: 135.110s, Tokens: [P:3275, C:115, T:3390])
Q: 애 손 안 닿게 하는 거 있어요? -> Keyword: **자동디스펜서** (Latency: 18.536s, Tokens: [P:3273, C:142, T:3415])
Q: 쉽게 접었다 펼 수 있는 거 있어요? -> Keyword: ** handsfree 디스펜서 (Latency: 15.696s, Tokens: [P:3275, C:87, T:3362])
Q: 긁혀도 티 안 나는 거 있어요? -> Keyword:  (Latency: 114.895s, Tokens: [P:3273, C:5704, T:8977])
Q: 눌러도 소리 안 나는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 29.956s, Tokens: [P:3273, C:33, T:3306])
Q: 물에 젖어도 미끄럽지 않은 거 있어요? -> Keyword: 칸막이 함 (Latency: 39.428s, Tokens: [P:3278, C:586, T:3864])
Q: 한 번 사두면 오래 쓰는 거 있어요? -> Keyword:  (Latency: 15.901s, Tokens: [P:3275, C:141, T:3416])
Q: 열어두면 자동으로 닫히는 거 있어요? -> Keyword: 가방정리箱 (Latency: 11.303s, Tokens: [P:3276, C:356, T:3632])
Q: 안 보이게 가릴 수 있는 거 있어요? -> Keyword: 안 보이게 가릴 수있는 중고 (Latency: 17.578s, Tokens: [P:3274, C:155, T:3429])
Q: 물기 많은 데 놔도 되는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 12.049s, Tokens: [P:3274, C:37, T:3311])
Q: 작은 물건 안 흩어지게 하는 거 있어요? -> Keyword: 칸막이함 (Latency: 11.531s, Tokens: [P:3277, C:266, T:3543])
Q: 손 안 베이게 하는 거 있어요? -> Keyword: 미끄reau방지매트 (Latency: 63.270s, Tokens: [P:3272, C:975, T:4247])
Q: 냄새 새는 거 막는 거 있어요? -> Keyword: ** 방수파우치 (Latency: 40.131s, Tokens: [P:3274, C:49, T:3323])
Q: 열면 자동으로 불 켜지는 거 있어요? -> Keyword: ** 열 (Latency: 21.615s, Tokens: [P:3274, C:563, T:3837])
Q: 쉽게 닦이는 표면이에요? -> Keyword: 휴지/물티슈 (Latency: 26.344s, Tokens: [P:3273, C:878, T:4151])
Q: 무게 가벼운 거 있어요? -> Keyword: 自动 디스펜서 (Latency: 6.005s, Tokens: [P:3272, C:40, T:3312])
Q: 흔들리지 않게 세워두는 거 있어요? -> Keyword: 안정성/Stability (Latency: 58.998s, Tokens: [P:3276, C:1649, T:4925])
Q: 눕혀놔도 안 쏟아지는 거 있어요? -> Keyword: 배수구덮개 (Latency: 47.528s, Tokens: [P:3277, C:63, T:3340])
Q: 전기 없이 쓰는 거 있어요? -> Keyword: 청소용품 (Latency: 5.748s, Tokens: [P:3271, C:30, T:3301])
Q: 열 차단 잘 되는 거 있어요? -> Keyword:  (Latency: 7.964s, Tokens: [P:3271, C:236, T:3507])
Q: 물 튀겨도 고장 안 나는 거 있어요? -> Keyword:  (Latency: 33.037s, Tokens: [P:3275, C:123, T:3398])
Q: 손목 안 아프게 쓰는 거 있어요? -> Keyword:  (Latency: 11.644s, Tokens: [P:3274, C:166, T:3440])
Q: 땀 차지 않게 하는 거 있어요? -> Keyword: Wallace (Latency: 18.494s, Tokens: [P:3274, C:129, T:3403])
Q: 애가 열 수 없게 하는 거 있어요? -> Keyword: 냄새 방지 (Latency: 48.791s, Tokens: [P:3273, C:215, T:3488])
Q: 쉽게 부서지지 않는 거 있어요? -> Keyword: **自動 디스펜서 (Latency: 44.837s, Tokens: [P:3274, C:38, T:3312])
Q: 여러 개 한 번에 들 수 있는 거 있어요? -> Keyword:  (Latency: 8.629s, Tokens: [P:3275, C:124, T:3399])
Q: 보관해도 곰팡이 안 생기는 거 있어요? -> Keyword:  (Latency: 11.842s, Tokens: [P:3278, C:200, T:3478])
Q: 긁힘 없이 닦이는 거 있어요? -> Keyword: 가방/공간 보조 (Latency: 161.574s, Tokens: [P:3274, C:231, T:3505])
Q: 밤에 불 안 켜도 보이는 거 있어요? -> Keyword: 미끄럼방지매트 (Latency: 12.192s, Tokens: [P:3276, C:192, T:3468])
Q: 자주 넘어지지 않는 거 있어요? -> Keyword:  (Latency: 831.560s, Tokens: [P:3273, C:603, T:3876])
Q: 먼지 덜 붙는 재질 있어요? -> Keyword:  (Latency: 25.913s, Tokens: [P:3273, C:60, T:3333])
Q: 한 번에 정리 끝나는 거 있어요? -> Keyword: ** [4. 공간 정리] - 칸막이정리함 (Latency: 17.856s, Tokens: [P:3273, C:159, T:3432])
Q: 냄새랑 습기 같이 잡는 거 있어요? -> Keyword:  (Latency: 5.578s, Tokens: [P:3276, C:85, T:3361])
Q: 이동해도 내용물 안 섞이는 거 있어요? -> Keyword:  (Latency: 39.227s, Tokens: [P:3276, C:1849, T:5125])
Q: 열고 닫기 조용한 거 있어요? -> Keyword: 내열유리용기 (Latency: 31.541s, Tokens: [P:3274, C:27, T:3301])
Q: 안에 뭐 들었는지 바로 보이는 거 있어요? -> Keyword: \[Divide\] (Latency: 22.155s, Tokens: [P:3275, C:1036, T:4311])
Q: 눌러도 원래대로 돌아오는 거 있어요? -> Keyword: automatize (Latency: 7.259s, Tokens: [P:3275, C:257, T:3532])
Q: 뚜껑 안 잃어버리게 붙어 있는 거 있어요? -> Keyword: <One Standard Keyword> (Latency: 24.136s, Tokens: [P:3280, C:1146, T:4426])
Q: 열어둬도 냄새 안 퍼지는 거 있어요? -> Keyword: 배수구덮개 (Latency: 26.483s, Tokens: [P:3277, C:230, T:3507])
Q: 세워놔도 안 넘어지는 거 있어요? -> Keyword: 가구보호대 (Latency: 10.877s, Tokens: [P:3275, C:166, T:3441])
Q: 손에 안 묻히고 버리는 거 있어요? -> Keyword: hands-free 전자레인지 (Latency: 9.157s, Tokens: [P:3275, C:148, T:3423])
Q: 아이가 던져도 안 깨지는 거 있어요? -> Keyword: 가구 가수 (Latency: 5.253s, Tokens: [P:3275, C:163, T:3438])
Q: 열면 바로 쓸 수 있는 거 있어요? -> Keyword: <One Standard Keyword> (Latency: 26.312s, Tokens: [P:3273, C:1258, T:4531])
Q: 가방 안에서 자리 안 차지하는 거 있어요? -> Keyword: <One Standard Keyword> (Latency: 38.041s, Tokens: [P:3276, C:720, T:3996])
Q: 냄새 안 섞이게 분리되는 거 있어요? -> Keyword: 칸막이함 (Latency: 6.751s, Tokens: [P:3277, C:134, T:3411])
Q: 바람 불어도 안 날아가는 거 있어요? -> Keyword: 가위 (Latency: 8.689s, Tokens: [P:3275, C:288, T:3563])
Q: 닫아두면 자동으로 잠기는 거 있어요? -> Keyword: ] automatized-locking-device (Latency: 12.121s, Tokens: [P:3275, C:448, T:3723])
Q: 손 안 더럽히고 짜는 거 있어요? -> Keyword: 자동디스펜서 (Latency: 23.750s, Tokens: [P:3275, C:33, T:3308])
Q: 물기 있어도 붙는 거 있어요? -> Keyword: 방수파우치 (Latency: 5.395s, Tokens: [P:3272, C:77, T:3349])
Q: 한 번 붙이면 오래 가는 거 있어요? -> Keyword: **배수구덮개** (Latency: 23.729s, Tokens: [P:3275, C:1012, T:4287])
Q: 여러 군데 쓸 수 있는 거 있어요? -> Keyword: #인테리어용품 (Latency: 196.778s, Tokens: [P:3274, C:72, T:3346])
