Q: 집에서 쓰는 건데 뭐 하나 없을까요? -> Keyword: 가정용품 (Latency: 2.042s, Tokens: [P:131, C:4, T:135])
Q: 물기 많은 데 써도 되는 거 있어요? -> Keyword: 타올 (Latency: 0.539s, Tokens: [P:131, C:2, T:133])
Q: 이거 좀 덜 귀찮게 하는 방법 없어요? -> Keyword: 방법 (Latency: 0.493s, Tokens: [P:132, C:1, T:133])
Q: 집에서 많이 쓰는 그거 있잖아요 -> Keyword: 생활용품 (Latency: 0.508s, Tokens: [P:131, C:3, T:134])
Q: 자주 안 쓰는데 없으면 불편한 거 뭐에요? -> Keyword: 제품 (Latency: 0.480s, Tokens: [P:134, C:1, T:135])
Q: 이거 들고 다니기 편하게 하는 거 있어요? -> Keyword: 가방 (Latency: 0.502s, Tokens: [P:133, C:2, T:135])
Q: 더 깔끔하게 보이게 하는 거 있어요? -> Keyword: 정리함 (Latency: 0.564s, Tokens: [P:132, C:3, T:135])
Q: 냄새 오래 잡아주는 거 있어요? -> Keyword: 탈취제 (Latency: 0.513s, Tokens: [P:130, C:3, T:133])
Q: 붙여놨다가 떼도 자국 안 남는 거 있어요? -> Keyword: 스티커 (Latency: 0.395s, Tokens: [P:136, C:3, T:139])
Q: 여름용이랑 겨울용 다른 거 있어요? -> Keyword: 의류 (Latency: 0.478s, Tokens: [P:132, C:2, T:134])
Q: 애들 있는 집에서 필수템 뭐에요? -> Keyword: 필수템 (Latency: 0.526s, Tokens: [P:131, C:3, T:134])
Q: 집에서 은근히 스트레스 줄여주는 거 있어요? -> Keyword: 스트레스 완화 제품 (Latency: 0.467s, Tokens: [P:133, C:5, T:138])
Q: 이거 자꾸 굴러가요 -> Keyword: 공기 (Latency: 0.378s, Tokens: [P:129, C:2, T:131])
Q: 어디에 놔야 안 걸리적거려요? -> Keyword: 정리함 (Latency: 0.471s, Tokens: [P:133, C:3, T:136])
Q: 이거 계속 더러워져서요 -> Keyword: 청소용품 (Latency: 0.523s, Tokens: [P:129, C:4, T:133])
Q: 물 새는 거 막는 거 있어요? -> Keyword: 방수 테이프 (Latency: 0.544s, Tokens: [P:129, C:5, T:134])
Q: 애가 물고 빨아도 괜찮은 거 있어요? -> Keyword: 장난감 (Latency: 0.518s, Tokens: [P:134, C:3, T:137])
Q: 집에서 좀 고급져 보이게 하는 거 있어요? -> Keyword: 인테리어 소품 (Latency: 0.464s, Tokens: [P:133, C:6, T:139])
Q: 이거 냄새 배는 거 막는 거 있어요? -> Keyword: 탈취제 (Latency: 0.572s, Tokens: [P:133, C:3, T:136])
Q: 눌러서 쓰는 거 말고 다른 거 있어요? -> Keyword: 다른 것 (Latency: 0.461s, Tokens: [P:133, C:3, T:136])
Q: 이거 떨어뜨리면 안 깨지게 하는 거 있어요? -> Keyword: 보호대 (Latency: 0.458s, Tokens: [P:134, C:3, T:137])
Q: 여기다 뭐 올려두는 거 있어요? -> Keyword: 받침대 (Latency: 0.396s, Tokens: [P:131, C:3, T:134])
Q: 집에서 쓸데없이 자주 찾게 되는 거 있어요? -> Keyword: 잡화 (Latency: 1.554s, Tokens: [P:134, C:2, T:136])
Q: 이거 안 보이게 가리는 거 있어요? -> Keyword: 가리개 (Latency: 0.537s, Tokens: [P:131, C:3, T:134])
Q: 애가 자꾸 열어서요 -> Keyword: 열쇠 (Latency: 0.476s, Tokens: [P:127, C:3, T:130])
Q: 이거 계속 축축해요 -> Keyword: 수건 (Latency: 0.520s, Tokens: [P:127, C:2, T:129])
Q: 바닥 긁히는 거 막는 거 있어요? -> Keyword: 바닥 보호대 (Latency: 0.405s, Tokens: [P:132, C:4, T:136])
Q: 이거 소리 너무 커요 -> Keyword: 소리 (Latency: 0.438s, Tokens: [P:127, C:2, T:129])
Q: 여기다 붙여두면 편한 거 있어요? -> Keyword: 붙여두는 것 (Latency: 0.459s, Tokens: [P:132, C:5, T:137])
Q: 집에서 이것저것 걸어두는 거 있어요? -> Keyword: 걸이 (Latency: 0.358s, Tokens: [P:132, C:2, T:134])
Q: 이거 들고 나가도 되는 거에요? -> Keyword: 없음 (Latency: 0.485s, Tokens: [P:131, C:2, T:133])
Q: 여름에 없으면 좀 불편한 거 뭐에요? -> Keyword: 여름용품 (Latency: 0.517s, Tokens: [P:133, C:4, T:137])
Q: 이거 정리 안 하면 진짜 스트레스에요 -> Keyword: 정리함 (Latency: 0.501s, Tokens: [P:132, C:3, T:135])
Q: 애가 던져도 안 깨지는 거 있어요? -> Keyword: 플라스틱 공 (Latency: 0.556s, Tokens: [P:132, C:5, T:137])
Q: 이거 자꾸 넘어져요 -> Keyword: 받침대 (Latency: 0.512s, Tokens: [P:127, C:3, T:130])
Q: 냄새 나는 거 숨기는 거 있어요? -> Keyword: 탈취제 (Latency: 0.740s, Tokens: [P:130, C:3, T:133])
Q: 이거 물에 담가도 돼요? -> Keyword: 물 (Latency: 0.534s, Tokens: [P:130, C:1, T:131])
Q: 여기다 넣어두면 안 흘러요? -> Keyword: 용기 (Latency: 0.650s, Tokens: [P:132, C:2, T:134])
Q: 애가 혼자 써도 되는 거 있어요? -> Keyword: 학용품 (Latency: 0.470s, Tokens: [P:131, C:3, T:134])
Q: 집에 두면 분위기 바뀌는 거 있어요? -> Keyword: 인테리어 소품 (Latency: 0.845s, Tokens: [P:133, C:6, T:139])
Q: 이거 계속 손에 묻어요 -> Keyword: 손 세정제 (Latency: 0.597s, Tokens: [P:128, C:4, T:132])
Q: 이거 다른 데다 옮겨도 돼요? -> Keyword: 이거 (Latency: 0.481s, Tokens: [P:132, C:2, T:134])
Q: 애가 자꾸 끌고 다녀요 -> Keyword: 장난감 (Latency: 0.551s, Tokens: [P:130, C:3, T:133])
Q: 집에서 제일 많이 쓰는 거 뭐에요? -> Keyword: 가정용품 (Latency: 0.644s, Tokens: [P:131, C:4, T:135])
Q: 이거 매번 닦기 귀찮아요 -> Keyword: 청소용품 (Latency: 0.649s, Tokens: [P:130, C:4, T:134])
Q: 물에 젖어도 냄새 안 나는 거 있어요? -> Keyword: 탈취제 (Latency: 0.522s, Tokens: [P:134, C:3, T:137])
Q: 여기다 올려두면 떨어질까요? -> Keyword: 떨어짐 방지 매트 (Latency: 0.593s, Tokens: [P:130, C:7, T:137])
Q: 이거 차 안에 놔도 돼요? -> Keyword: 차량용품 (Latency: 0.480s, Tokens: [P:131, C:4, T:135])
Q: 집에서 없어도 될 줄 알았는데 필요하네요 -> Keyword: 필요한 것 (Latency: 0.551s, Tokens: [P:132, C:4, T:136])
Q: 이거 애 손 안 닿는 데 둘 수 있어요? -> Keyword: 장난감 (Latency: 0.592s, Tokens: [P:133, C:3, T:136])
Q: 이거 계속 찢어져요 -> Keyword: 종이 (Latency: 0.343s, Tokens: [P:128, C:2, T:130])
Q: 애가 혼자 못 열게 하는 거 있어요? -> Keyword: 안전장치 (Latency: 0.618s, Tokens: [P:131, C:4, T:135])
Q: 이거 하나로 다 해결돼요? -> Keyword: 해결책 (Latency: 0.530s, Tokens: [P:128, C:3, T:131])
Q: 집에 두면 은근히 편해지는 거 있어요? -> Keyword: 편리한 물건 (Latency: 0.517s, Tokens: [P:133, C:5, T:138])
Q: 이거 어디다 두는 게 정석이에요? -> Keyword: 정석 (Latency: 0.532s, Tokens: [P:131, C:2, T:133])
Q: 이거 자주 사야 하는 거에요? -> Keyword: 제품 (Latency: 0.528s, Tokens: [P:130, C:1, T:131])
Q: 애가 넘어질까 봐 걱정돼요 -> Keyword: 안전용품 (Latency: 0.715s, Tokens: [P:132, C:4, T:136])
Q: 집에서 이거 말고 다른 방법 없어요? -> Keyword: 방법 (Latency: 0.422s, Tokens: [P:130, C:1, T:131])
Q: 이거 안 흘리게 쓰는 법 없어요? -> Keyword: 컵 (Latency: 0.387s, Tokens: [P:132, C:1, T:133])
Q: 애가 자꾸 물어뜯어요 -> Keyword: 장난감 (Latency: 0.659s, Tokens: [P:129, C:3, T:132])
Q: 이거 한 번 사두면 오래 쓰는 거 있어요? -> Keyword: 제품 (Latency: 0.420s, Tokens: [P:133, C:1, T:134])
Q: 집에서 없어도 되는데 있으면 좋은 거 뭐에요? -> Keyword: 소품 (Latency: 0.419s, Tokens: [P:133, C:2, T:135])
Q: 이거 보관 안 하면 망가져요 -> Keyword: 보관함 (Latency: 0.590s, Tokens: [P:131, C:3, T:134])
Q: 그냥 요즘 다들 많이 사는 거 뭐에요? -> Keyword: 상품 (Latency: 0.470s, Tokens: [P:133, C:1, T:134])
Q: 여행 갈 때 캐리어 안에서 옷 안 구겨지게 하는 거 뭐 있어요? -> Keyword: 옷 주머니 (Latency: 0.651s, Tokens: [P:141, C:4, T:145])
Q: 비 오는 날 신발 안 젖게 막는 거 있어요? -> Keyword: 우비 (Latency: 0.468s, Tokens: [P:134, C:2, T:136])
Q: 머리 말릴 때 물 흘러내리는 거 막는 거 있어요? -> Keyword: 헤어 드라이어 (Latency: 0.637s, Tokens: [P:137, C:5, T:142])
Q: 냉장고 냄새 안 나게 하는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 0.494s, Tokens: [P:135, C:3, T:138])
Q: 욕실 바닥 미끄러워서 안 넘어지게 하는 거 있나요? -> Keyword: 미끄럼 방지 매트 (Latency: 0.656s, Tokens: [P:137, C:7, T:144])
Q: 이사 와서 집 정리 좀 쉽게 하는 거 뭐부터 사야 돼요? -> Keyword: 정리용품 (Latency: 0.513s, Tokens: [P:138, C:4, T:142])
Q: 전선들 너무 엉키는데 정리하는 거 있어요? -> Keyword: 전선 정리기 (Latency: 0.693s, Tokens: [P:134, C:5, T:139])
Q: 여름에 차 안에 두면 좋은 방향 같은 거 있어요? -> Keyword: 방향제 (Latency: 0.463s, Tokens: [P:134, C:3, T:137])
Q: 아이 책상 위에 올려둘 정리용 통 같은 거 있어요? -> Keyword: 정리용 통 (Latency: 0.433s, Tokens: [P:136, C:4, T:140])
Q: 가방 안에서 화장품 안 새게 보관하는 거 있나요? -> Keyword: 화장품 보관함 (Latency: 0.507s, Tokens: [P:136, C:6, T:142])
Q: 비행기 탈 때 목 안 아프게 받치는 거 있어요? -> Keyword: 목베개 (Latency: 0.573s, Tokens: [P:135, C:3, T:138])
Q: 세탁기 돌릴 때 옷 망가지는 거 막는 거 있어요? -> Keyword: 세탁기 보호망 (Latency: 0.490s, Tokens: [P:138, C:5, T:143])
Q: 신발 냄새 줄이는 거 뭐 있어요? -> Keyword: 신발 냄새 제거제 (Latency: 0.617s, Tokens: [P:131, C:7, T:138])
Q: 욕실 배수구에 머리카락 안 막히게 하는 거 있나요? -> Keyword: 헤어캡 (Latency: 0.503s, Tokens: [P:138, C:4, T:142])
Q: 여름에 등 붙는 거 싫은데 깔고 앉는 거 있어요? -> Keyword: 매트 (Latency: 0.504s, Tokens: [P:140, C:2, T:142])
Q: 전자레인지 돌려도 되는 그릇 구분이 안 돼서요, 표시된 거 있어요? -> Keyword: 전자레인지용 그릇 (Latency: 0.665s, Tokens: [P:144, C:7, T:151])
Q: 여행 갈 때 세면도구 따로 담는 통 있어요? -> Keyword: 세면도구 통 (Latency: 0.678s, Tokens: [P:135, C:5, T:140])
Q: 집에서 커피 마실 때 종이 필터 같은 거 있어요? -> Keyword: 종이 필터 (Latency: 0.496s, Tokens: [P:135, C:4, T:139])
Q: 비 오는 날 우산 물 안 떨어지게 하는 거 있나요? -> Keyword: 우산 (Latency: 0.416s, Tokens: [P:134, C:2, T:136])
Q: 아이 장난감 정리 좀 쉽게 하는 박스 있어요? -> Keyword: 박스 (Latency: 0.572s, Tokens: [P:133, C:2, T:135])
Q: 옷장 안에 냄새 안 나게 해주는 거 뭐 있어요? -> Keyword: 탈취제 (Latency: 0.444s, Tokens: [P:137, C:3, T:140])
Q: 휴대폰 떨어뜨려도 안 깨지게 하는 케이스 말고 붙이는 거 있어요? -> Keyword: 붙이는 케이스 (Latency: 0.511s, Tokens: [P:142, C:5, T:147])
Q: 차 문 열 때 벽에 안 찍히게 하는 거 있어요? -> Keyword: 방지대 (Latency: 0.489s, Tokens: [P:135, C:3, T:138])
Q: 책상 다리 바닥 긁히는 거 막는 거 있나요? -> Keyword: 책상 다리 보호대 (Latency: 0.636s, Tokens: [P:136, C:6, T:142])
Q: 냉장고 문에 붙여서 메모 붙이는 판 같은 거 있어요? -> Keyword: 메모판 (Latency: 0.464s, Tokens: [P:138, C:3, T:141])
Q: 가방 안에 이어폰 안 엉키게 하는 거 있어요? -> Keyword: 이어폰 정리기 (Latency: 0.665s, Tokens: [P:135, C:5, T:140])
Q: 화장실 냄새 심할 때 뿌리는 거 말고 다른 거 있어요? -> Keyword: 탈취제 (Latency: 0.369s, Tokens: [P:140, C:3, T:143])
Q: 캠핑 갈 때 쓰는 가벼운 컵 같은 거 있어요? -> Keyword: 컵 (Latency: 0.457s, Tokens: [P:137, C:1, T:138])
Q: 여행 갈 때 여권 안 구겨지게 넣는 거 있나요? -> Keyword: 여권 케이스 (Latency: 0.498s, Tokens: [P:136, C:5, T:141])
Q: 아이 손 닦을 때 들고 다니는 물티슈 넣는 통 있어요? -> Keyword: 물티슈 통 (Latency: 0.451s, Tokens: [P:139, C:4, T:143])
Q: 비 오는 날 창문 틈으로 물 새는 거 막는 거 있어요? -> Keyword: 방수 테이프 (Latency: 0.561s, Tokens: [P:137, C:5, T:142])
Q: 문 닫을 때 쾅 소리 안 나게 붙이는 거 있나요? -> Keyword: 방음패드 (Latency: 0.486s, Tokens: [P:138, C:4, T:142])
Q: 콘센트에 애 손 안 들어가게 막는 거 있어요? -> Keyword: 콘센트 막이 (Latency: 0.536s, Tokens: [P:135, C:5, T:140])
Q: 냄비 잡을 때 손 안 데게 하는 거 있어요? -> Keyword: 손잡이 (Latency: 0.535s, Tokens: [P:134, C:3, T:137])
Q: 뜨거운 고데기 바로 놓을 수 있는 받침 같은 거 있나요? -> Keyword: 받침 (Latency: 0.510s, Tokens: [P:137, C:2, T:139])
Q: 화장대 위에 이것저것 안 흩어지게 모아두는 통 있어요? -> Keyword: 정리함 (Latency: 0.392s, Tokens: [P:141, C:3, T:144])
Q: 여름에 모기 안 들어오게 창문에 붙이는 거 있어요? -> Keyword: 모기장 (Latency: 0.603s, Tokens: [P:137, C:3, T:140])
Q: 차 안에서 휴대폰 고정해두는 거 있나요? -> Keyword: 휴대폰 거치대 (Latency: 0.493s, Tokens: [P:134, C:6, T:140])
Q: 운동화 세탁기 돌릴 때 보호해주는 거 있어요? -> Keyword: 세탁기 보호대 (Latency: 0.400s, Tokens: [P:135, C:5, T:140])
Q: 아이들 미끄러지지 않게 양말 같은 거 있어요? -> Keyword: 양말 (Latency: 0.423s, Tokens: [P:135, C:2, T:137])
Q: 장마철에 옷장 습기 줄이는 거 뭐 있어요? -> Keyword: 제습기 (Latency: 0.389s, Tokens: [P:136, C:3, T:139])
Q: 여행 갈 때 신발 따로 넣는 주머니 있어요? -> Keyword: 주머니 (Latency: 0.485s, Tokens: [P:134, C:2, T:136])
Q: 컵 밑에 물 안 떨어지게 까는 거 있나요? -> Keyword: 받침대 (Latency: 0.936s, Tokens: [P:134, C:3, T:137])
Q: 집에서 밥 먹을 때 식탁 더러워지는 거 막는 거 있어요? -> Keyword: 식탁 보호대 (Latency: 0.510s, Tokens: [P:139, C:4, T:143])
Q: 침대 옆에 핸드폰 올려둘 작은 선반 같은 거 있어요? -> Keyword: 선반 (Latency: 0.467s, Tokens: [P:139, C:2, T:141])
Q: 화장실에서 휴지 물 안 젖게 하는 거 있나요? -> Keyword: 방수 휴지 케이스 (Latency: 0.552s, Tokens: [P:135, C:7, T:142])
Q: 아이 공부할 때 집중 잘 되게 하는 타이머 같은 거 있어요? -> Keyword: 타이머 (Latency: 0.434s, Tokens: [P:136, C:3, T:139])
Q: 여름에 차 안 더울 때 창문 가리는 거 있어요? -> Keyword: 커튼 (Latency: 0.486s, Tokens: [P:135, C:2, T:137])
Q: 머리 말릴 때 손목 안 아프게 잡는 거 있어요? -> Keyword: 헤어 드라이어 (Latency: 0.435s, Tokens: [P:136, C:5, T:141])
Q: 겨울에 현관 들어올 때 발 물기 닦는 거 있어요? -> Keyword: 발매트 (Latency: 0.570s, Tokens: [P:137, C:3, T:140])
Q: 여행 갈 때 화장품 작은 병에 나눠 담는 거 있어요? -> Keyword: 화장품 용기 (Latency: 0.569s, Tokens: [P:138, C:5, T:143])
Q: 냉장고 안에 반찬통 말고 세워두는 정리용 통 있어요? -> Keyword: 정리용 통 (Latency: 0.546s, Tokens: [P:141, C:4, T:145])
Q: 욕실에 수건 말릴 때 거는 거 따로 설치 안 해도 되는 거 있나요? -> Keyword: 수건걸이 (Latency: 0.530s, Tokens: [P:141, C:4, T:145])
Q: 아이 장난감 건전지 자주 바꾸는데 보관하는 거 있어요? -> Keyword: 보관함 (Latency: 0.582s, Tokens: [P:138, C:3, T:141])
Q: 여름에 등에 땀 차는 거 막는 등받이 같은 거 있어요? -> Keyword: 등받이 (Latency: 0.468s, Tokens: [P:139, C:3, T:142])
Q: 차 안에서 쓰레기 안 굴러다니게 담는 거 있어요? -> Keyword: 쓰레기통 (Latency: 0.582s, Tokens: [P:138, C:4, T:142])
Q: 캠핑 갈 때 얼음 오래 안 녹게 담는 통 있어요? -> Keyword: 아이스박스 (Latency: 0.551s, Tokens: [P:137, C:4, T:141])
Q: 아이들 색연필 안 흩어지게 넣는 통 있어요? -> Keyword: 색연필 통 (Latency: 0.530s, Tokens: [P:136, C:4, T:140])
Q: 여행 갈 때 캐리어 이름 표시하는 거 있어요? -> Keyword: 캐리어 이름 표시기 (Latency: 0.613s, Tokens: [P:133, C:6, T:139])
Q: 화장실 바닥 물 튀는 거 막는 발판 같은 거 있나요? -> Keyword: 발판 (Latency: 0.420s, Tokens: [P:138, C:2, T:140])
Q: 집에서 빨래 널 때 공간 많이 안 차지하는 거 있어요? -> Keyword: 건조대 (Latency: 0.513s, Tokens: [P:136, C:3, T:139])
Q: 가방 안에 키랑 동전 안 섞이게 하는 거 있어요? -> Keyword: 키홀더 (Latency: 0.659s, Tokens: [P:137, C:3, T:140])
Q: 여름에 벌레 물렸을 때 바르는 거 있어요? -> Keyword: 연고 (Latency: 0.367s, Tokens: [P:134, C:2, T:136])
Q: 아이 손톱 정리할 때 쓰는 작은 세트 있어요? -> Keyword: 손톱 정리 세트 (Latency: 0.504s, Tokens: [P:135, C:7, T:142])
Q: 비 오는 날 신발 말리는 거 있어요? -> Keyword: 신발 건조기 (Latency: 0.527s, Tokens: [P:130, C:5, T:135])
Q: 집에서 고기 구울 때 기름 튀는 거 막는 거 있나요? -> Keyword: 기름 방지 매트 (Latency: 0.594s, Tokens: [P:138, C:6, T:144])
Q: 욕실에서 휴대폰 올려두는 거 있어요? -> Keyword: 휴대폰 거치대 (Latency: 0.501s, Tokens: [P:133, C:6, T:139])
Q: 책상 위에 연필 굴러다니는 거 막는 거 있어요? -> Keyword: 연필꽂이 (Latency: 0.481s, Tokens: [P:138, C:6, T:144])
Q: 여름에 차 안에서 햇빛 눈부신 거 막는 거 있어요? -> Keyword: 선글라스 (Latency: 0.481s, Tokens: [P:138, C:4, T:142])
Q: 아이들 간식 나눠 담는 작은 통 있어요? -> Keyword: 간식 통 (Latency: 0.423s, Tokens: [P:133, C:3, T:136])
Q: 여행 갈 때 빨래 따로 담아둘 주머니 있어요? -> Keyword: 세탁 주머니 (Latency: 0.521s, Tokens: [P:135, C:4, T:139])
Q: 신발장 문 열면 냄새 덜 나게 하는 거 있어요? -> Keyword: 신발장 냄새 제거제 (Latency: 0.603s, Tokens: [P:137, C:8, T:145])
Q: 아이가 문에 손 끼일까 봐 막는 거 있어요? -> Keyword: 문 손막이 (Latency: 0.508s, Tokens: [P:136, C:4, T:140])
Q: 차 컵홀더에 맞는 작은 쓰레기통 있어요? -> Keyword: 쓰레기통 (Latency: 0.521s, Tokens: [P:135, C:4, T:139])
Q: 겨울에 손 시릴 때 스마트폰 터치 되는 장갑 있어요? -> Keyword: 장갑 (Latency: 0.377s, Tokens: [P:136, C:2, T:138])
Q: 캠핑 갈 때 접이식 의자 같은 거 있어요? -> Keyword: 접이식 의자 (Latency: 0.528s, Tokens: [P:134, C:5, T:139])
Q: 가방 안에서 물병 안 넘어지게 고정하는 거 있어요? -> Keyword: 물병 고정기 (Latency: 0.538s, Tokens: [P:136, C:5, T:141])
Q: 욕실에서 발 닦고 바로 신는 슬리퍼 있어요? -> Keyword: 슬리퍼 (Latency: 0.549s, Tokens: [P:135, C:3, T:138])
Q: 집에서 머리카락 바닥에 안 떨어지게 자르는 거 있어요? -> Keyword: 헤어컷기 (Latency: 0.528s, Tokens: [P:138, C:5, T:143])
Q: 아이들 그림 그릴 때 책상 더러워지는 거 막는 거 있어요? -> Keyword: 책상 보호대 (Latency: 0.465s, Tokens: [P:138, C:4, T:142])
Q: 여행 갈 때 목 아플까 봐 받치는 거 있어요? -> Keyword: 목베개 (Latency: 0.423s, Tokens: [P:135, C:3, T:138])
Q: 집에서 먼지 닦을 때 손 안 더러워지는 거 있어요? -> Keyword: 먼지 닦이 (Latency: 0.427s, Tokens: [P:137, C:5, T:142])
Q: 차 안에서 핸드폰 충전선 안 굴러다니게 하는 거 있어요? -> Keyword: 충전선 정리함 (Latency: 0.569s, Tokens: [P:141, C:6, T:147])
Q: 여름에 실내에서 바람 나오는 작은 선풍기 있어요? -> Keyword: 선풍기 (Latency: 0.422s, Tokens: [P:136, C:3, T:139])
Q: 화장실 냄새 오래 잡아주는 거 있어요? -> Keyword: 탈취제 (Latency: 0.393s, Tokens: [P:133, C:3, T:136])
Q: 아이들 우산 잃어버리지 않게 이름 적는 거 있어요? -> Keyword: 이름표 (Latency: 0.486s, Tokens: [P:137, C:3, T:140])
Q: 냉장고 문 열 때 병 안 넘어지게 하는 거 있어요? -> Keyword: 병 받침대 (Latency: 0.496s, Tokens: [P:136, C:4, T:140])
Q: 여행 갈 때 귀 안 아프게 막는 거 있어요? -> Keyword: 귀마개 (Latency: 0.563s, Tokens: [P:134, C:3, T:137])
Q: 집에서 물컵 쏟아도 흡수 잘 되는 매트 있어요? -> Keyword: 매트 (Latency: 0.478s, Tokens: [P:138, C:2, T:140])
Q: 차 안에서 햇빛 때문에 대시보드 뜨거워지는 거 막는 거 있어요? -> Keyword: 대시보드 쿨러 (Latency: 0.658s, Tokens: [P:142, C:8, T:150])
Q: 아이가 혼자 양치할 때 컵 엎지르지 않게 하는 거 있어요? -> Keyword: 컵 (Latency: 0.497s, Tokens: [P:141, C:1, T:142])
